household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
00100001,001000011,1,32.34,1,1,2,1,0,1,1,1,1,1,1,1,1,0,0,1,N,3,31,2018,,,7000,1
00100002,001000021,1,32.34,1,2,1,1,0,0,0,0,1,1,1,0,1,0,1,0,N,5,21,,,,10000,1
00100003,001000031,1,32.34,1,4,1,1,0,0,2,0,1,1,1,2,1,0,0,0,N,5,22,,,,3797.13,3
00100004,001000041,1,32.34,1,1,2,1,0,1,2,0,1,1,1,0,1,0,0,1,N,3,33,2015,,,1000,1
00100005,001000051,1,32.34,1,2,1,1,0,0,1,0,1,1,1,1,1,0,0,0,N,4,25,,,,4684.43,3
00100008,001000081,1,32.34,1,4,1,1,0,0,0,1,1,1,1,1,1,0,1,0,N,4,27,,,,6000,1
00100009,001000091,1,32.34,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,N,5,22,2016,,,1500,1
00100010,001000101,1,32.34,1,2,1,1,0,1,2,1,1,1,1,0,1,0,1,0,N,3,35,2018,,,9433.29,3
00100014,001000141,1,32.34,1,2,2,1,0,0,5,0,1,1,1,0,0,0,0,0,N,3,33,,,,6200,1
00100016,001000161,1,32.34,1,3,2,1,0,0,1,0,1,1,1,0,1,0,0,0,N,4,27,,,,5388.38,3
00100018,001000181,1,32.34,1,3,1,1,0,0,2,0,1,1,1,0,1,0,0,0,N,4,27,,,,5388.38,3
00100019,001000191,1,32.34,1,3,2,1,0,0,1,0,1,1,1,1,1,0,0,1,N,4,23,,,,3900,1
00100020,001000201,1,32.34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,N,5,19,,,,3000,1
00100022,001000221,1,32.34,1,2,1,1,0,0,2,0,1,1,1,0,1,0,0,0,N,3,30,,,,6647.53,3
00100023,001000231,1,32.34,1,2,3,1,0,0,2,0,1,1,1,0,1,1,0,0,N,4,28,,,,8500,1
00100025,001000251,1,32.34,1,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,19,,,,11500,1
00100027,001000271,1,32.34,1,4,1,1,0,1,1,0,1,1,1,0,1,0,0,0,N,4,27,2012,,,5388.38,3
00100028,001000281,1,32.34,1,1,2,2,0,1,1,0,1,1,1,0,1,0,0,0,N,3,31,2011,,,3500,1
00100029,001000291,1,32.34,1,5,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,2008,,,6647.53,3
00100030,001000301,1,32.34,1,7,1,2,0,1,1,0,1,1,1,0,1,0,0,2,N,4,28,2014,,,5779.08,3
00100032,001000321,1,32.34,1,1,2,3,0,0,1,1,1,1,1,0,1,0,0,0,N,3,37,,,,2000,1
00100033,001000331,1,32.34,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,N,4,27,,,,4500,1
00100034,001000341,1,32.34,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,N,5,22,,,,2200,1
00100035,001000351,1,32.34,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,N,4,25,,,,7700,1
00100036,001000361,1,32.34,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,N,4,28,2007,,,5779.08,3
00100037,001000371,1,32.34,1,2,2,1,0,0,1,0,1,1,1,1,1,0,1,0,N,3,30,,,,6647.53,3
00100039,001000391,1,32.34,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,N,3,31,2020,,,3600,1
00100041,001000411,1,32.34,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,N,5,22,,,,2100,1
00100042,001000421,1,32.34,1,1,2,0,0,1,0,0,1,1,1,0,1,0,0,0,N,5,21,2013,,,1412,1
00100045,001000451,1,32.34,1,1,1,2,0,1,1,1,1,1,1,0,1,0,0,0,N,3,37,2019,,,10850.86,3
00100047,001000471,1,32.34,1,4,2,2,0,2,1,1,1,1,1,0,1,1,1,2,N,3,35,2022,2018,,9433.29,3
00100052,001000521,1,32.34,1,5,2,2,0,1,1,0,1,1,1,0,1,0,1,0,N,3,29,2017,,,6200,1
00100060,001000601,1,32.34,1,2,1,2,1,1,2,1,1,1,1,0,1,0,1,2,N,1,45,2023,,,18996.31,3
00100061,001000611,1,32.34,1,2,2,2,0,1,0,1,1,1,1,0,1,0,0,0,N,3,29,2017,,,4500,1
00100062,001000621,1,32.34,1,3,3,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,1994,,,6000,1
00100067,001000671,1,32.34,1,1,2,1,0,0,1,0,1,0,1,0,1,0,0,0,N,5,22,,,,2500,1
