field_number,column_name,source_variable_pt,description_pt,entity,start_position,end_position,length,source_codes_note_pt,source_dbf_name,r_storage_type
1,zone,ZONA,Zona do Domicílio,household,1,3,3,1 a 527,ZONA,integer
2,household_municipality,MUNI_DOM,Município de Domicílio,household,4,5,2,1 a 39,MUNI_DOM,integer
3,household_x,CO_DOM_X,Coordenada X Domicílio,household,6,17,12,12 dígitos,CO_DOM_X,integer
4,household_y,CO_DOM_Y,Coordenada Y Domicílio,household,18,29,12,12 dígitos,CO_DOM_Y,integer
5,household_id,ID_DOM,Identifica Domicílio,household,30,37,8,8 dígitos,ID_DOM,character
6,first_household_record,F_DOM,Identifica Primeiro Registro do Domicílio,household,38,38,1,0 - Demais Registros,F_DOM,integer
7,household_expansion_factor,FE_DOM,Fator de Expansão do Domicílio,household,39,49,11,"11 dígitos, 6 casas decimais",FE_DOM,numeric
8,household_number,DOM,Número do Domicílio,household,50,53,4,,DOM,integer
9,interview_code,CD_ENTRE,Código de Entrevista,household,54,54,1,1 - Completa com Viagem,CD_ENTRE,integer
10,interview_date,DATA,Data da Entrevista,household,55,65,11,,DATA,Date
11,dwelling_type,TIPO_DOM,Tipo de Domicílio,household,66,66,1,1 - Particular,TIPO_DOM,integer
12,piped_water,AGUA,Possui água encanada?,household,67,67,1,0 - Não,AGUA,character
13,paved_street,RUA_PAVI,A rua é pavimentada?,household,68,68,1,0 - Não,RUA_PAVI,character
14,household_resident_count,NO_MORAD,Total de Moradores no Domicílio,household,69,70,2,,NO_MORAD,integer
15,household_family_count,TOT_FAM,Total de Familias no Domicílio,household,71,71,1,,TOT_FAM,integer
16,family_id,ID_FAM,Identifica Família,family,72,80,9,,ID_FAM,integer
17,first_family_record,F_FAM,Identifica Primeiro Registro da Família,family,81,81,1,0 - Demais Registros,F_FAM,integer
18,family_expansion_factor,FE_FAM,Fator de Expansão da Família,family,82,93,12,"11 dígitos, 6 casas decimais",FE_FAM,numeric
19,family_number,FAMILIA,Número da Família,family,94,94,1,,FAMILIA,integer
20,family_resident_count,NO_MORAF,Total de Moradores na Família,family,95,96,2,,NO_MORAF,integer
21,housing_tenure,CONDMORA,Condição de Moradia,family,97,97,1,1 - Alugada,CONDMORA,integer
22,bathroom_count,QT_BANHO,Banheiros,family,98,98,1,,QT_BANHO,integer
23,domestic_employee_count,QT_EMPRE,Empregados Domésticos,family,99,99,1,,QT_EMPRE,integer
24,car_count,QT_AUTO,Automóveis,family,100,100,1,,QT_AUTO,integer
25,computer_count,QT_MICRO,Microcomputadores,family,101,101,1,,QT_MICRO,integer
