household_id,family_id,person_id,first_person_record,person_expansion_factor,person_number,family_role,age,sex,race,currently_studies,education_level,activity_status,individual_income_status,individual_income,stopped_transport_due_pandemic,stopped_metro_monorail,stopped_train,stopped_bus_van,stopped_chartered_transport,stopped_school_transport,stopped_car,stopped_conventional_taxi,stopped_ride_hailing,stopped_motorcycle,stopped_bicycle,school_zone,school_municipality,school_x,school_y,school_type,school_attendance_mode,school_hybrid_frequency_unit,school_hybrid_frequency,primary_work_zone,primary_work_municipality,primary_work_x,primary_work_y,primary_work_at_home,primary_work_external,primary_work_occupation,primary_work_activity_sector,primary_work_employment_relationship,primary_work_mode,primary_work_hybrid_frequency_unit,primary_work_hybrid_frequency,secondary_work_zone,secondary_work_municipality,secondary_work_x,secondary_work_y,secondary_work_at_home,secondary_work_external,secondary_work_occupation,secondary_work_activity_sector,secondary_work_employment_relationship,secondary_work_mode,secondary_work_hybrid_frequency_unit,secondary_work_hybrid_frequency
00100001,001000011,00100001101,1,20.452542,1,1,67,1,4,1,4,4,1,7000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,6,36,332814,7395769,2,S,VENDEDOR,9,6,3,,6,0,0,0,0,0,,,0,0,0,,
00100002,001000021,00100002101,1,18.601234,1,1,22,2,4,1,3,1,1,5000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333725,7394554,1,N,REPRESENTANTE DE VENDAS,4,6,2,,,0,0,0,0,0,,,0,0,0,,
00100002,001000021,00100002102,1,18.601234,2,4,21,2,4,1,3,1,1,5000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333725,7394554,1,N,REPRESENTANTE DE VENDAS,4,6,2,,,0,0,0,0,0,,,0,0,0,,
00100003,001000031,00100003101,1,66.852777,1,1,37,2,4,1,3,1,1,1500,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333067,7394620,1,N,AUX DESING INTERIORES,12,5,1,,,0,0,0,0,0,,,0,0,0,,
00100003,001000031,00100003102,1,19.319088,2,3,27,1,4,1,5,5,2,0,S,S,S,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100003,001000031,00100003103,1,22.491184,3,2,45,1,4,1,4,1,3,,S,S,S,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333067,7394620,1,N,VENDEDOR CURSOS,10,6,2,,,0,0,0,0,0,,,0,0,0,,
00100003,001000031,00100003104,1,40.302674,4,3,22,1,4,5,4,1,1,1500,S,S,S,S,N,N,N,N,N,N,N,27,36,331799,7392646,2,1,N,N,74,36,331491,7392867,2,N,ASSISTENTE ADMINISTRATIVO,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100004,001000041,00100004101,1,20.805172,1,1,27,1,1,5,5,8,1,1000,S,S,S,S,N,N,N,N,N,N,N,43,36,337292,7394930,2,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100005,001000051,00100005101,1,13.294152,1,1,69,2,2,1,4,1,1,2100,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,332861,7394724,2,N,DOMESTICA,14,2,1,,,0,0,0,0,0,,,0,0,0,,
00100005,001000051,00100005102,1,66.852777,2,3,37,1,2,4,3,1,3,,N,N,N,N,N,N,N,N,N,N,N,27,36,332039,7392451,1,1,N,N,1,36,332861,7394724,2,S,DOG WALTER,14,6,1,,,0,0,0,0,0,,,0,0,0,,
