zone_2023,zone_name,municipality,municipality_name,district,district_name,area_ha
1,Sé,36,São Paulo,80,Sé,57.1
2,Parque Dom Pedro,36,São Paulo,80,Sé,113.64
3,Praça João Mendes,36,São Paulo,80,Sé,47.75
4,Ladeira da Memória,36,São Paulo,67,República,75.11
5,República,36,São Paulo,67,República,74.95
6,Santa Ifigênia,36,São Paulo,67,República,82.93
7,Luz,36,São Paulo,9,Bom Retiro,154.6
8,Bom Retiro,36,São Paulo,9,Bom Retiro,143.01
9,Ponte Pequena,36,São Paulo,9,Bom Retiro,129.78
10,Canindé,36,São Paulo,57,Pari,82.61
11,Bom Jardim,36,São Paulo,57,Pari,49.85
12,Pari,36,São Paulo,57,Pari,140.16
13,João Teodoro,36,São Paulo,10,Brás,39.32
14,Oriente,36,São Paulo,10,Brás,69.88
15,Bresser,36,São Paulo,10,Brás,76.98
16,Brás,36,São Paulo,10,Brás,109.08
17,Gasômetro,36,São Paulo,10,Brás,69.35
18,Independência,36,São Paulo,14,Cambuci,253.75
19,Cambuci,36,São Paulo,14,Cambuci,140.43
20,Glicério,36,São Paulo,49,Liberdade,108.02
21,Aclimação,36,São Paulo,49,Liberdade,113.62
22,Pires da Mota,36,São Paulo,49,Liberdade,50.03
23,Centro Cultural,36,São Paulo,49,Liberdade,33.24
24,Liberdade,36,São Paulo,49,Liberdade,59.49
25,Treze de Maio,36,São Paulo,7,Bela Vista,42.85
26,Bexiga,36,São Paulo,7,Bela Vista,51.76
27,Bela Vista,36,São Paulo,7,Bela Vista,93.8
28,São Carlos do Pinhal,36,São Paulo,7,Bela Vista,31.03
29,Masp,36,São Paulo,7,Bela Vista,57.27
30,Higienópolis,36,São Paulo,26,Consolação,67.81
31,Vila Buarque,36,São Paulo,26,Consolação,89.58
32,Consolação,36,São Paulo,26,Consolação,57.23
33,Pacaembu,36,São Paulo,26,Consolação,90.45
34,FAAP,36,São Paulo,26,Consolação,74.45
35,Santa Cecília,36,São Paulo,70,Santa Cecília,144.09
36,Marechal Deodoro,36,São Paulo,70,Santa Cecília,142.2
37,Rudge,36,São Paulo,70,Santa Cecília,84.73
38,Catumbi,36,São Paulo,8,Belém,81.44
39,Belém,36,São Paulo,8,Belém,160.71
40,Quarta Parada,36,São Paulo,8,Belém,127.4
41,Belenzinho,36,São Paulo,8,Belém,180.11
42,Celso Garcia,36,São Paulo,8,Belém,63.89
43,Mooca,36,São Paulo,54,Mooca,271.79
44,Alto da Mooca,36,São Paulo,54,Mooca,141.65
45,Parque da Mooca,36,São Paulo,54,Mooca,381.42
46,Água Rasa,36,São Paulo,1,Água Rasa,315.81
47,Vila Bertioga,36,São Paulo,1,Água Rasa,195.28
48,Regente Feijó,36,São Paulo,1,Água Rasa,203.96
49,Ana Rosa,36,São Paulo,92,Vila Mariana,94.46
50,Jardim da Glória,36,São Paulo,92,Vila Mariana,88.43
51,Chácara Klabin,36,São Paulo,92,Vila Mariana,97.57
52,Vila Mariana,36,São Paulo,92,Vila Mariana,59.61
53,Santa Cruz,36,São Paulo,92,Vila Mariana,108.52
54,Vila Clementino,36,São Paulo,92,Vila Mariana,93.7
