municipality,municipality_name,zones_2017,zones_2023
1,Arujá,3,3
2,Barueri,8,8
3,Biritiba-Mirim,1,2
4,Caieiras,4,4
5,Cajamar,2,2
6,Carapicuíba,5,5
7,Cotia,6,6
8,Diadema,5,5
9,Embu das Artes,4,4
10,Embu-Guaçu,3,3
11,Ferraz de Vasconcelos,3,3
12,Francisco Morato,4,4
13,Franco da Rocha,5,5
14,Guararema,1,2
15,Guarulhos,24,24
16,Itapecerica da Serra,3,3
17,Itapevi,3,3
18,Itaquaquecetuba,4,4
19,Jandira,3,3
20,Juquitiba,1,3
21,Mairiporã,4,4
22,Mauá,5,5
23,Mogi das Cruzes,10,11
24,Osasco,14,14
25,Pirapora do Bom Jesus,1,1
26,Poá,2,2
27,Ribeirão Pires,3,3
28,Rio Grande da Serra,2,2
29,Salesópolis,1,2
30,Santa Isabel,2,4
31,Santana do Parnaíba,1,1
32,Santo André,13,13
33,São Bernardo do Campo,10,11
34,São Caetano do Sul,5,5
35,São Lourenço da Serra,1,1
36,São Paulo,342,343
37,Suzano,4,4
38,Taboão da Serra,4,4
39,Vargem Grande Paulista,1,1
