zone,name,households,families,population,school_enrollment,jobs,private_cars,trips_produced,trips_attracted,area_ha
1,Sé,1617,1617,3600.0000000000027,11617.914569755305,65917.90133842189,776.1600000000005,90354.713188647846,90484.93010347645,57.1
2,Parque Dom Pedro,1820,1820,4245.0000000000018,1509.2644000102675,50551.67750735027,837.1999999999998,82803.37377794036,83071.220024385897,113.64
3,Praça João Mendes,7436,7436,16579.000000000029,5051.9363044387346,18142.38791201251,1895.4509803921508,48907.089650345166,48945.079567044566,47.75
4,Ladeira da Memória,13462,13462,24905.999999999989,2847.250152147567,24904.184596831543,3769.359999999999,64346.592454550795,64564.669836865156,75.11
5,República,8655,8655,15099,4107.6990019698724,82670.40497522708,4673.699999999999,124858.89992210451,125836.14802633482,74.95
6,Santa Ifigênia,9831,9831,22224,1015.8105585205727,36623.04827709633,1207.315789473682,67199.585024191285,68300.669637570536,82.93
7,Luz,5688,5688,14849.000000000004,4810.1522890305469,31034.428300396503,2275.2000000000003,61550.154102156383,63292.334712134128,154.6
8,Bom Retiro,4251,4251,11873.999999999991,4762.7023966708002,12713.333213649325,1700.4,29053.137358950262,29012.669822994081,143.01
9,Ponte Pequena,2766,2766,7629.9999999999964,7061.5443006636224,13429.145993881606,1106.4000000000003,31191.716553196817,30083.834954855545,129.78
10,Canindé,451,451,2133.9999999999995,6138.3533691868361,9677.396530598795,189.42,20485.39303589068,20773.523158952448,82.61
11,Bom Jardim,1496,1496,4345,1405.7632352844003,3788.1823025574386,762.6666666666657,10704.024128043206,10719.471916868086,49.85
12,Pari,3667,3667,11311.000000000002,2745.6328301295844,20527.32570577742,1906.8399999999997,43301.013171381936,45471.188633939222,140.16
13,João Teodoro,324,324,810.00000000000045,557.98270972956175,20784.4966905798,207.35999999999996,30766.569738738897,30726.367154126005,39.32
14,Oriente,657,657,1699.9999999999986,3526.0016832827687,21078.69666648712,236.52,44728.287341965224,45775.212185616037,69.88
15,Bresser,3590,3590,8591.9999999999982,540.24702281721193,15617.069743792865,1267.0588235294117,25448.060838417368,25611.559625318248,76.98
16,Brás,8541,8541,19412,3765.4605994925555,15020.80785328077,3587.2200000000007,50212.851069039156,50736.550939651548,109.08
17,Gasômetro,3473,3508.8041237113403,9199,493.08553148604256,9175.273608178397,1038.3195876288664,24615.476086172945,24615.810840410722,69.35
18,Independência,11339,11339,26659.999999999996,3889.0586228274778,25788.172583101616,5896.280000000001,65313.655623342776,67130.322796642227,253.75
19,Cambuci,8228,8228,19625.000000000004,7335.8637786092004,13307.5420785669,6803.923076923067,41691.724932165263,41672.641050733779,140.43
20,Glicério,10954,10954,24683.000000000018,2376.0989114778336,12202.751202952186,5868.214285714292,41114.687912132526,41105.545623589183,108.02
21,Aclimação,7489,7489,16704.000000000011,3321.6779613319618,8856.930935264969,5643.884057971016,25775.832632180154,26105.270176558337,113.62
22,Pires da Mota,5806,5806,11410.999999999991,2584.357967382758,6685.493442369576,3761.6338028168966,21681.266478529255,21877.974434013373,50.03
23,Centro Cultural,2258,2258,4161.9999999999991,30456.393997230483,12186.05889667264,993.5199999999995,42228.611426852171,42399.194114408012,33.24
24,Liberdade,5434,5434,10737.000000000005,40868.758150798931,21481.434717687545,2130.9803921568605,56939.296895120169,57451.611803521671,59.49
25,Treze de Maio,8566,8566,16745.999999999993,2126.7094087069177,10432.34188479422,3255.0800000000004,29301.550829416021,29002.000663184579,42.85
26,Bexiga,5959,5959,11824,10397.382982058725,12226.143858164252,1906.8800000000008,31464.56876549056,31780.245912732233,51.76
27,Bela Vista,7632,7632,15414.000000000013,14723.294491142426,48486.434832929786,6571.999999999999,89261.989739165278,90491.082958120009,93.8
28,São Carlos do Pinhal,3814,3814,7389.9999999999982,10818.144540834535,21316.10025219158,2479.099999999997,46075.45979483203,45582.877317438004,31.03
29,Masp,5988,5988,10140.999999999995,7470.3928390764959,71740.99433901737,4757.589041095893,99432.829731608508,98946.810033371701,57.27
30,Higienópolis,7987,8040.604026845638,16786.999999999978,3113.4846715784288,12710.045130715327,7075.731543624168,38017.712391096196,37543.289617843395,67.81
31,Vila Buarque,12925,12925,22442.999999999967,29915.138493873164,27450.62992455492,5539.285714285711,99431.465903638746,98984.870109460913,89.58
32,Consolação,4018,4018,7339.0000000000064,13189.461176560484,53924.99540580617,2377.3166666666666,79447.228699323314,80476.829185883238,57.23
33,Pacaembu,536,536,1537.9999999999986,852.78505621116199,1303.3996977667275,690.440677966102,6125.6724549472101,6128.3644056742878,90.45
34,FAAP,2775,2775,6464.9999999999927,4586.9919802873374,9644.478602708006,2890.625,22049.623932642142,22260.375266878473,74.45
35,Santa Cecília,17808,17808,34564.000000000007,5619.9563084377032,48413.83759059143,7770.763636363634,96707.094651332169,96915.405865434281,144.09
36,Marechal Deodoro,18836,18836,39379.999999999993,7377.9633276227614,35805.89535315746,11041.7931034483,88651.957489595792,88647.013401164702,142.2
37,Rudge,4069,4069,9039.9999999999964,843.4174773109296,11338.286983471044,2848.300000000001,20874.547492196281,21660.475870145739,84.73
38,Catumbi,1938,1938,5524.0000000000018,1140.3391918611269,4018.2145810609686,1201.56,11443.814885882653,11650.487129630268,81.44
39,Belém,4833,4833,13216.000000000018,2373.3088200501616,12392.482715872611,2653.4117647058815,31186.291523905347,30191.200983086754,160.71
40,Quarta Parada,3308,3363.133333333333,8209.9999999999891,4404.8943605123868,12144.098551819778,2343.166666666667,32548.450290032146,32449.225626554326,127.4
41,Belenzinho,8869,8869,23310.000000000004,6144.0977529227775,19041.727030549373,7588.938144329901,55169.010315885935,55027.858828247859,180.11
42,Celso Garcia,2405,2597.4,6911,226.41918595437687,7209.643987048576,865.8000000000003,17408.146101202477,17404.93171330318,63.89
43,Mooca,12389,12475.034722222224,32093.999999999935,20007.451081826883,30181.657694378617,10152.097222222234,76050.229170842038,77316.346551721945,271.79
44,Alto da Mooca,6871,6871,16950.000000000011,2125.4853022153184,19232.33606616831,4715.3921568627275,52753.209815495095,53995.627675988653,141.65
45,Parque da Mooca,13462,13462,33846.000000000022,12959.584571940504,37254.91796477056,12069.37931034483,87656.225172117178,87466.332970013609,381.42
46,Água Rasa,15064,15365.28,37112.999999999985,9147.9319165896268,13438.704258898237,12352.479999999996,57525.326327427269,58439.769719973723,315.81
47,Vila Bertioga,10860,10860,26004.999999999982,3979.0590821305877,8697.65957366869,8687.999999999996,32435.443911438044,32421.678501101436,195.28
48,Regente Feijó,10194,10194,24802.000000000015,3722.0684729605314,13334.201997132644,9990.120000000003,38438.895296416347,39094.180921412495,203.96
49,Ana Rosa,7226,7226,14861.000000000004,4609.1039547976125,18304.767961771773,5096.231578947367,37470.992701569427,37468.501782376559,94.46
50,Jardim da Glória,4033,4033,9561.9999999999964,1477.3896429762831,3819.688398029803,2763.3518518518526,17471.5840163012,17482.055053245746,88.43
51,Chácara Klabin,6808,6808,15885.000000000018,3196.2608312016296,8586.483367656087,9489.93939393938,28358.775577672965,28358.775577672965,97.57
52,Vila Mariana,4516,4516,9522.9999999999982,2190.1143539804889,9582.157423275998,3432.16,24349.52341124725,24103.366985026463,59.61
53,Santa Cruz,6060,6060,14055.999999999987,6504.8196755024956,21924.27752098735,6060.000000000021,56067.537652641695,55915.87691150279,108.52
54,Vila Clementino,4025,4025,8445.0000000000073,3190.5328195329375,27773.68957720123,2616.2500000000027,56464.111995090549,59177.350441056151,93.7
55,França Pinto,6897,6897,15479.000000000002,19353.739608791235,15882.859280126868,5655.540000000001,50720.125414455157,51261.4810957191,112.14
56,Rodrigues Alves,9830,10095.675675675677,20418.999999999978,12281.712667440879,21082.895116144588,5712.027027027036,54269.97887583902,53773.605704563335,103.55
57,Paraíso,10013,10013,22219.000000000015,5889.0117431396957,45684.707933088146,7445.564102564107,69599.064835759957,67029.450267553169,96.28
58,Bosque da Saúde,14751,14907.925531914894,34327.000000000007,4205.6850167296707,17772.216540136495,10514.010638297908,63417.886291450814,62963.22265820465,169.91
59,Saúde,21941,21941,50121.000000000015,7805.3040694921656,29496.62689349747,12189.444444444449,85926.144256924134,85641.898655935351,260.81
60,Planalto Paulista,8126,8126,20675,1804.3841460094104,17182.361267988115,5375.661538461554,41358.068000873078,41843.908276590722,321.66
61,Mirandópolis,12200,12200,26537.999999999975,3839.4906552910802,18180.25539012243,7320,53212.967028233987,52917.214758039147,173.45
62,Parque Ibirapuera,2201,2201,4939,4309.5759904924598,15433.376053642987,2304.171875,39924.188369655669,39243.55741638875,283.7
63,Jardim Luzitânia,777,777,2049.9999999999991,419.19579942877522,14897.299635767771,877.2580645161295,29148.942531117096,29304.312619042092,103.07
64,Moema,14530,14530,31339.999999999989,4419.0098044537035,42155.25329674909,14098.415841584168,91244.951903742272,90388.578968013069,175.13
65,Vila Helena,12116,12116,26311.999999999956,12032.718332920866,17514.53515770744,15750.800000000065,53475.624550978697,53456.405389621992,104.82
66,Bandeirantes,4899,4899,10381.999999999993,4093.8476238981339,24358.98065886059,5858.597938144333,60867.787294844595,61154.936009476129,133.42
67,Vila Nova Conceição,3932,3932,8911.0000000000036,1307.0445978122236,12323.519266195037,3931.999999999997,25489.995747420497,24866.579739942954,112.48
68,Chácara Itaim,12357,12357,25599.999999999982,4304.7125633686874,79343.2302196721,7958.74576271188,104287.84222496384,103808.30385500933,204.01
69,Vila Olímpia,5505,5505,10651.999999999985,4273.2570496311428,41067.28477711204,3980.538461538461,62533.687170713572,63193.099664383262,89.63
70,Hélio Pelegrino,6636,6636,13371,13735.000008302441,24646.39250643009,5881.909090909099,52632.13833694021,54311.323739004234,103.38
71,Brooklin,14170,14170,31300.999999999985,6013.7606592142674,27789.989550644485,15587.000000000022,81529.913139327793,80489.565848523256,234.25
72,Vila Cordeiro,5919,5919,13179.000000000007,6717.6186562864013,27814.22992324425,6392.520000000002,39627.228865360674,39501.933629127816,176.69
73,Berrini,4585,4585,9870,481.81929425542779,153383.2535685865,5094.444444444444,152132.13015914592,153299.42588299362,197.39
74,Campinas,5775,5775,11524.000000000007,8493.3854675195162,52342.85899917928,5827.981651376146,72776.114597295731,72799.582568738799,49.08
75,Pamplona,6478,6478,13238.999999999978,992.02387383861799,15371.672831463453,4269.590909090907,27433.582197269639,27294.814855231816,51.34
76,Jardins,3949,3949,9248.9999999999818,2274.4106943406591,15268.059184208572,3786.712328767131,31339.86595912564,30770.50602959664,237.7
77,Clínicas,11386,11386,22332,5178.5920794558006,43640.9373288517,11040.969696969729,83607.429729773183,85828.881806797464,128.72
78,Oscar Freire,8638,8695.586666666666,17995.000000000011,716.91598230795739,25746.23315999315,10480.773333333334,44947.285562862191,44964.238917910952,100.01
79,Trianon,4751,4751,9554.0000000000018,5948.947707679391,45115.7292116792,3598.1838235294126,78663.315013398431,80508.198631670341,59.81
80,Jardim Paulistano,9634,9634,19074.999999999967,3762.6816756109174,31037.266141462613,5716.17333333334,58479.032272082259,58917.466903111475,98.98
81,Jardim Europa,4770,4770,11912.000000000005,2337.520597775751,46646.546813840985,7675.363636363646,57313.340976352411,57360.883642430417,308.02
82,Pinheiros,6286,6286,12397.999999999996,5047.4167881031317,72610.17160238058,4774.942307692306,110937.63805460432,112660.9660546715,202.58
83,Vila Madalena,11245,11245,23378.999999999982,7877.4153721933453,33714.53213040919,9445.800000000017,68413.747076302316,68556.5381209099,219.31
84,PUC,7440,7440,16697.999999999978,13645.100791116698,15663.625754744591,6916.056338028165,48355.408367542346,48295.511634645591,73.32
85,Cardoso de Almeida,1671,1730.6785714285716,4291.0000000000036,2628.4359494355208,4553.743789597051,1909.7142857142903,13018.419840680397,13015.870466262566,63.39
86,Zequinha de Abreu,1307,1307,3030.9999999999959,1447.2644991557304,3718.3654466920657,1334.5157894736858,7409.9450577816287,7408.942354473088,49.61
87,Sumaré,7661,7661,16748.999999999982,2213.2666219589992,11747.283517493324,7150.266666666659,36821.1270316788,36640.148175605791,139.16
88,Perdizes,17841,17841,39132.000000000044,4180.8121762195115,23365.951773530134,14510.679999999997,85138.224031069723,84628.365157570574,168.45
89,Vila Anglo Brasileira,5564,5564,12324.999999999998,623.04193622928733,4681.044882553219,4304.226415094353,14411.84975775995,14411.84975775995,79.12
90,Pompéia,5834,5834,12709.000000000011,3923.1551996398744,7551.709050349056,4917.22857142857,26597.704902056761,27005.47425395147,60
91,Santa Marina,6232,6232,14339.999999999996,13627.288964523441,27195.33366093914,3240.64,53438.075090165854,52692.161193835927,295.36
92,Barra Funda,1405,1405,3486.0000000000009,2433.2536106358548,19823.565939175543,1208.3000000000002,40498.870586039266,39460.166779275503,118.21
93,Francisco Matarazzo,4727,4727,10352.000000000002,39737.537471458432,30872.07648758214,4431.562500000001,73590.083762501919,73195.626287729217,105.13
94,Água Branca,2580,2580,6089.0000000000045,2450.3617364207648,18613.23244127956,2425.2,39493.431305071521,39886.5778627131,71.11
