work_zone,secondary_sector_jobs,tertiary_sector,other,total
1,2611.5145404720733,63306.386797949795,0,65917.90133842187
2,1281.3924878090172,49270.28501954125,0,50551.677507350265
3,1179.1084336634813,16963.27947834903,0,18142.387912012513
4,938.9744891746167,23965.210107656923,0,24904.18459683154
5,5397.880526566321,77173.9211132584,98.6033354024074,82670.40497522714
6,373.2632317319219,36249.785045364406,0,36623.04827709633
7,3113.9229028220334,27920.505397574467,0,31034.4283003965
8,2280.05215608322,10433.281057566102,0,12713.333213649325
9,2022.1040390788703,11407.041954802738,0,13429.14599388161
10,819.783884319003,8857.612646279793,0,9677.396530598797
11,1176.5664465361206,2611.6158560213175,0,3788.1823025574386
12,3662.302893017357,16865.022812760053,0,20527.32570577741
13,247.5871868170676,20536.909503762738,0,20784.496690579803
14,2506.65126695877,18572.045399528353,0,21078.69666648712
15,2222.0226559879966,13395.047087804867,0,15617.069743792865
16,3666.430723584488,11354.377129696282,0,15020.80785328077
17,460.6549406904766,8714.618667487919,0,9175.273608178395
18,7983.343235619318,17804.829347482282,0,25788.1725831016
19,2346.2378451999357,10961.304233366964,0,13307.5420785669
20,2902.108145027324,9300.643057924863,0,12202.751202952186
21,30.0463284705826,8826.884606794389,0,8856.93093526497
22,0,6685.493442369577,0,6685.493442369577
23,139.1737265498295,12046.885170122816,0,12186.058896672645
24,1376.8944195597353,20104.5402981278,0,21481.434717687534
25,804.921281821308,9627.420602972914,0,10432.34188479422
26,420.84783881703135,11805.29601934722,0,12226.143858164252
27,1600.5147533183494,46885.92007961143,0,48486.43483292978
28,397.38702785991507,20918.713224331663,0,21316.10025219158
29,4311.848265512632,67261.23331562492,167.91275787984,71740.99433901739
30,514.9154585207973,12195.129672194533,0,12710.045130715333
31,1699.2934586621168,25751.336465892797,0,27450.629924554913
32,3093.547767627212,50831.44763817898,0,53924.99540580619
33,430.7174726167464,872.6822251499809,0,1303.3996977667273
34,712.6442536798577,8931.834349028148,0,9644.478602708004
35,543.216113829661,47870.62147676174,0,48413.8375905914
36,2456.075297303827,33349.82005585362,0,35805.895353157444
37,1551.6469552068304,9722.288253604822,64.3517746593978,11338.286983471047
38,391.0142838680314,3627.200297192937,0,4018.214581060968
39,1549.144676689248,10843.338039183363,0,12392.482715872611
40,2736.937529724888,9407.161022094888,0,12144.098551819776
41,4413.274030514554,14628.453000034817,0,19041.727030549373
42,3484.7179439358056,3724.9260431127714,0,7209.643987048577
43,2977.4481606590475,27204.20953371958,0,30181.657694378628
44,1108.8131370066023,18123.52292916171,0,19232.336066168315
45,8942.506379907605,28250.491858481284,61.9197263816765,37254.91796477056
46,2248.7022095148545,11190.002049383384,0,13438.70425889824
47,1772.7746526587512,6924.884921009939,0,8697.65957366869
48,1778.274828627324,11555.927168505325,0,13334.201997132648
49,2430.8194642007047,15873.948497571067,0,18304.767961771773
50,385.18393584903856,3434.504462180765,0,3819.688398029803
51,453.2859797799507,8133.197387876136,0,8586.483367656087
52,1007.4411440261856,8574.716279249813,0,9582.157423275998
53,1022.9034381584886,20901.374082828865,0,21924.27752098735
54,851.4819158002747,26922.207661400946,0,27773.68957720122
55,2094.5714539456444,13788.28782618122,0,15882.859280126864
56,749.0299315290864,20333.865184615504,0,21082.89511614459
57,3329.5597154508846,42355.148217637245,0,45684.70793308814
58,886.9878082220235,16885.22873191447,0,17772.216540136495
59,2630.079849250105,26866.547044247363,0,29496.62689349747
60,880.6983841652974,16301.66288382282,0,17182.36126798812
61,1883.0813493852884,16297.174040737147,0,18180.255390122435
62,914.8111662965371,14321.394085220909,197.170802125541,15433.376053642984
63,273.653133641173,14623.6465021266,0,14897.299635767777
64,3569.1630268230183,38450.7727649568,135.317504969285,42155.253296749106
65,446.91970323979893,17067.61545446764,0,17514.53515770744
66,4156.360740716693,20202.619918143897,0,24358.98065886059
67,2217.052389336407,10106.466876858629,0,12323.519266195037
68,5140.144881566339,74203.08533810575,0,79343.23021967211
69,6150.849198336298,34904.03215036227,12.4034284134947,41067.284777112065
70,2441.405034363847,22204.987472066237,0,24646.39250643009
71,2109.8589940078805,25680.13055663661,0,27789.989550644492
72,1443.462384386467,26370.767538857785,0,27814.229923244253
73,16298.568546862622,136764.66949288303,320.015528840722,153383.2535685864
74,6858.114495401678,45484.74450377759,0,52342.85899917927
75,750.0260373042029,14621.646794159253,0,15371.672831463453
76,982.4825850847084,14285.576599123864,0,15268.059184208572
77,288.1433670377495,43352.793961813935,0,43640.93732885169
78,1211.4936252049165,24534.73953478822,0,25746.233159993135
79,3328.896052603175,41738.85475009398,47.9784089820608,45115.729211679216
80,1650.830138064946,29386.43600339767,0,31037.266141462616
81,4080.7290836500033,42549.81773019101,16,46646.54681384101
82,6161.138884327054,66310.9861928944,138.046525159056,72610.1716023805
83,3138.8812110721633,30575.650919337015,0,33714.532130409185
84,1926.6521701303848,13736.973584614208,0,15663.625754744591
85,507.26588460389183,4046.47790499316,0,4553.7437895970515
86,425.3760499905201,3292.989396701546,0,3718.3654466920666
87,217.87861973716372,11458.619209737171,70.7856880189881,11747.283517493324
88,1469.8745118168383,21896.077261713275,0,23365.951773530112
89,850.3659695963869,3830.678912956833,0,4681.044882553219
90,730.5645472994686,6821.144503049588,0,7551.709050349056
91,6476.020165357058,20582.303370372152,137.010125209934,27195.333660939144
92,1762.9684934723607,18060.59744570318,0,19823.56593917554
93,1744.8708716049157,28989.630817924193,137.574798053023,30872.07648758213
94,2557.0299900462783,16056.202451233286,0,18613.232441279564
95,326.4008496515151,8677.72481853978,0,9004.125668191295
96,711.9697960562683,11118.443416406795,0,11830.413212463063
97,1332.478109026418,9635.391070805816,0,10967.869179832234
98,452.01745554233133,6212.280094274002,0,6664.297549816334
99,7178.850858823264,18544.704601972713,0,25723.555460795975
100,6962.503031703669,48263.27855821063,0,55225.7815899143
101,1137.629865231767,10924.674805428212,0,12062.304670659978
102,928.4428295950743,9686.261176279007,0,10614.704005874082
103,922.5870971398504,4342.351958718685,0,5264.9390558585355
104,599.5704596893509,3471.6845090411425,0,4071.2549687304936
105,499.5562815238503,11339.721224155974,0,11839.277505679824
106,3653.9093563087886,22772.346077233335,508.535390572867,26934.790824114993
107,578.8914528653647,15226.247905652684,0,15805.139358518049
108,1097.8588871721363,14839.825909736885,0,15937.68479690902
109,3744.0955258239464,40624.46338382754,0,44368.55890965149
110,1738.7815184887309,23285.897620849755,0,25024.679139338485
111,1329.9117081761867,16090.99458072006,0,17420.906288896247
112,3351.338939876417,17152.468819708953,0,20503.80775958537
113,5270.424358202387,19858.782080874593,0,25129.20643907698
114,0,0,0,0
115,4362.8363579033885,13836.433850185287,0,18199.270208088677
116,5112.118964819355,30056.778430374623,0,35168.89739519398
117,2248.803012778148,19879.589744391254,0,22128.392757169408
118,1169.4006356397065,4169.957712553089,0,5339.358348192795
119,3643.633192284186,22162.42485198357,0,25806.058044267756
120,0,0,0,0
121,2191.0442057985692,11903.9998958713,0,14095.04410166987
122,936.701605302499,8637.222492091016,0,9573.924097393516
123,187.808984059175,6760.36194729538,0,6948.170931354554
124,2822.4527910850675,10022.242168909735,0,12844.694959994806
125,1798.891702805964,11312.124014391802,0,13111.015717197766
126,916.9396605586717,11086.157346115262,0,12003.097006673934
127,2193.586362580771,26941.199068380723,0,29134.785430961496
128,401.9687332737094,9379.360097552775,0,9781.3288308264855
129,385.39302188832863,14599.096119837875,0,14984.489141726206
130,127.849579439808,5492.710017467744,0,5620.559596907552
131,1753.2191008377972,9742.267879368115,0,11495.486980205911
132,447.97026394178874,2971.460406576568,0,3419.4306705183567
133,1423.3978714425034,22172.714325377143,0,23596.11219681965
134,1055.4439622418274,13364.036328609984,0,14419.48029085181
135,696.4247016520659,19138.20965925209,0,19834.63436090416
136,4212.391981633758,17228.65820355995,0,21441.050185193708
137,2989.9399676387275,16047.080437735012,0,19037.02040537374
138,5125.238561557625,10204.12080677822,0,15329.359368335843
139,1366.2405600869213,6951.781164813919,0,8318.02172490084
140,791.1133434242554,10550.42232126728,0,11341.535664691532
141,6558.128227274368,25796.43131394082,0,32354.55954121519
142,2187.450917519911,11338.626896584514,0,13526.077814104425
143,0,0,0,0
144,1390.306678692197,30569.58849010775,0,31959.895168799947
145,190.22011845906215,2467.313240417018,0,2657.53335887608
146,0,0,0,0
147,1937.0865563061511,7637.060500660065,0,9574.147056966216
148,702.9829413876934,7372.758071196582,0,8075.741012584275
149,0,0,0,0
150,5044.890848930046,10453.342732768344,0,15498.23358169839
151,1606.3810371043758,15576.259401882406,0,17182.640438986782
152,1203.337548266628,10606.702317233694,0,11810.039865500325
153,777.9664994125532,7334.817307846632,0,8112.783807259186
154,4832.2676675457615,22322.719216874146,0,27154.986884419908
155,2112.0937087676853,4955.213294955374,0,7067.307003723059
156,1578.0234714580026,16744.89724175732,0,18322.920713215324
157,1517.9846372366126,2026.7488526062675,0,3544.73348984288
158,3056.0993496900664,13835.856267135976,0,16891.955616826042
159,4566.760987386734,18602.43344516123,0,23169.194432547964
160,3181.9019118740443,14493.739681067813,0,17675.641592941858
161,5007.943843548575,30094.76473521622,0,35102.708578764796
162,5563.239900037544,20220.553593672255,0,25783.7934937098
163,3673.178921489104,21523.230294343997,0,25196.4092158331
164,4238.275922669663,14262.580468121,0,18500.85639079066
165,1245.958597770725,8243.129894284504,0,9489.088492055229
166,2380.642926159589,33946.3649119341,0,36327.00783809369
167,1623.261531747439,35290.98062368278,0,36914.24215543022
168,970.2605179371785,25555.195202157767,0,26525.455720094946
169,1494.2035093413483,21967.055694188737,0,23461.259203530084
170,1190.9903439232717,33183.71365937899,0,34374.704003302264
171,2505.255847152297,13076.153023829524,0,15581.40887098182
172,0,8988.076609042131,0,8988.076609042131
173,1809.4535335928272,9015.04364439913,0,10824.497177991956
174,386.69393319096,8254.407769795649,0,8641.101702986609
175,946.6752566225762,9555.217844589548,0,10501.893101212125
176,3068.180916643388,9882.110827275577,0,12950.291743918966
177,284.8328607605784,2654.544467403563,0,2939.3773281641415
178,451.171007557682,149.428736676603,0,600.599744234285
179,0,0,0,0
180,3281.15442565197,7418.281490584269,0,10699.435916236238
181,3947.9009705685953,15923.959824089883,0,19871.86079465848
182,1837.84848980471,9891.316385332433,0,11729.164875137143
183,1255.5503777722838,11619.28783564632,0,12874.838213418603
184,1175.9336373254002,5230.547630482624,0,6406.481267808024
185,874.864952864428,4656.050819550354,0,5530.915772414783
186,255.4343165098796,2649.0611993648786,0,2904.495515874758
187,142.905765949708,9698.440094506994,0,9841.345860456702
188,326.093518744837,11746.15673300868,0,12072.250251753518
189,1663.3188493656917,10736.804918680667,0,12400.12376804636
190,2045.632489445925,18006.84092996142,0,20052.473419407343
191,386.217693375275,8177.8453316159885,0,8564.063024991263
192,949.7088115601,10810.334272293532,0,11760.043083853632
193,319.274602223583,5585.993347722126,0,5905.267949945709
194,1369.3166997338817,6524.578910279555,0,7893.8956100134365
195,2304.191759166303,10645.04868740341,0,12949.240446569716
196,624.004098008176,6100.801091101959,0,6724.805189110135
197,931.4758364191256,8138.261163693665,0,9069.737000112791
198,2146.2121667877,23015.5452258316,0,25161.7573926193
199,5826.055955560532,17866.896930177558,0,23692.95288573809
200,851.1191916967741,4139.821183558496,0,4990.94037525527
201,1267.846379684441,10717.305736805049,0,11985.152116489488
202,1990.903886454073,14087.086403568424,0,16077.990290022495
203,908.527638843444,10703.595099245274,0,11612.122738088718
204,3577.493632412068,29096.544357983024,0,32674.037990395092
205,2831.000398912185,20382.924174528933,0,23213.924573441116
206,1797.845331262006,16775.412308292005,0,18573.257639554013
207,0,17478.944146205096,0,17478.944146205096
208,4108.868911439153,31780.671470920093,0,35889.54038235925
209,3714.494482708072,14502.927927689398,0,18217.42241039747
210,2878.97695317273,19397.17076249931,0,22276.14771567204
211,2434.317128289106,15708.365602428345,0,18142.68273071745
212,3256.4213214040055,16007.950779966508,0,19264.37210137051
213,3107.5406967453373,21584.890177324225,0,24692.430874069563
214,2113.379385340217,15328.280296672196,0,17441.659682012414
215,733.494866751987,17819.705615848223,0,18553.20048260021
216,2456.475276288622,10537.313478436909,0,12993.78875472553
217,1388.5529078857364,7391.66411605108,0,8780.217023936817
218,885.246816195671,14448.018647483254,0,15333.265463678925
219,1689.632698829652,8255.276352042356,0,9944.909050872007
220,2301.1736249504884,7366.628866134628,0,9667.802491085116
221,3120.543229589721,21300.099643085778,0,24420.642872675497
222,1029.1455893757702,16352.42273627071,0,17381.56832564648
223,1065.5460733670072,8595.810505257907,0,9661.356578624915
224,110.087833400884,1244.0603985741232,0,1354.148231975007
225,5377.600230364329,13906.89222330918,0,19284.49245367351
226,1278.43943707076,12063.554584581992,0,13341.99402165275
227,4039.802144913308,18051.990142249266,0,22091.79228716257
228,2530.908874996742,6740.231973793722,0,9271.140848790465
229,1879.019367495124,21678.261412743468,0,23557.28078023859
230,2294.7887853426528,14327.07276896774,0,16621.861554310395
231,2993.2569279590152,8761.342994109173,0,11754.599922068188
232,1485.1293304163678,9113.860912421176,0,10598.990242837544
233,964.38649229698,8419.397087868734,0,9383.783580165715
234,5730.511245468173,10595.43277231966,0,16325.944017787831
235,3247.875736777546,14541.683853407969,0,17789.559590185512
236,1703.334526137779,11619.878878251284,0,13323.213404389062
237,1861.1319772530528,11727.931438866312,0,13589.063416119368
238,3342.84417979625,9565.739000366713,0,12908.583180162965
239,640.1882696507982,18756.169399486505,0,19396.357669137305
240,1855.5510865589324,13453.136281983392,0,15308.687368542323
241,3785.091504331,8472.085820787193,0,12257.177325118191
242,6568.3391412926785,11473.469685217808,0,18041.80882651049
243,5922.892947969532,21402.985487425743,0,27325.878435395276
244,0,14621.677806719328,0,14621.677806719328
245,815.3119350136395,3453.33568160876,0,4268.647616622399
246,1221.6602969823757,6833.811341509969,0,8055.471638492344
247,2884.696044857697,17742.552823465056,0,20627.248868322753
248,0,907.2713477793292,0,907.2713477793292
