work_zone,agriculture_jobs,construction,industry,commerce,freight_transport_services,passenger_transport_services,credit_financial_services,personal_services,food_services,health,education,specialized_services,public_administration,other,total
1,0,2490.083512271552,121.4310282005215,7559.304141461457,0,656.0037615048508,6404.518510288944,487.51826218009114,1422.6397637662358,1909.338486661331,1078.2280796710738,11865.927229255793,16169.776756197003,15753.131806963018,65917.90133842187
2,0,507.9494949400179,773.4429928689992,29606.83931020946,1800.8129770649607,1987.246660858391,3001.515153318166,715.9102195609163,794.5055302967344,441.797630341361,1064.4120278093585,3291.5502763261147,4300.261002994427,2265.4342307613583,50551.677507350265
3,0,1179.1084336634813,0,511.7262256750944,222.072925869297,139.31781442387,976.2008967234252,128.500154026153,928.8443080630996,1373.6154830395385,683.9167140452482,4091.4992800985574,6647.4045204563645,1260.1811559283826,18142.387912012513
4,0,461.257481048209,477.7170081264077,3625.745263885437,305.47053405039003,111.848761764111,158.1366839311211,1883.7703337804808,594.0140845986227,1021.4515863821446,46.2255171862015,4318.765725438474,6536.032237613244,5363.749379026698,24904.18459683154
5,98.6033354024074,2128.809650963305,3269.070875603016,15533.495208137623,81.7210875438909,88.20166962057951,7322.258919425199,2126.3867143988577,2317.4254028438286,4113.494471225376,2846.6166416498027,15592.76903085942,5677.973489004967,21473.578478548847,82670.40497522711
6,0,347.66319089612,25.6000408358019,16826.31807644576,248.002132602045,58.5367555195212,1749.3391298316928,679.4916003627388,1805.6086580880635,842.4480571412279,77.7103260338261,3670.9314959880458,3852.5217320995744,6438.877081251905,36623.04827709633
7,0,119.048476793494,2994.87442602854,10815.790407323908,895.6181306978724,689.1309737352967,668.1064932922842,299.78502114968603,653.318462781729,780.8768387930186,1490.549955073559,2158.359794360425,3758.4003968724,5710.568923494293,31034.428300396503
8,0,71.076357992737,2208.975798090483,4584.322103583301,58.2437340080999,159.632663494782,62.1345194325417,252.4647656808089,164.895806729979,697.714430732158,253.9572681321446,1172.295678753092,322.636508151248,2704.983578867949,12713.333213649325
9,0,145.4456857688256,1876.658353310045,2684.9290235418594,125.8880667957366,175.1188954864996,533.3231604099266,96.3537794316987,368.6377457229852,144.449083299562,219.0027499036148,2028.353748787708,2127.8811808686814,2903.1045205544647,13429.145993881608
10,0,33.6961224886211,786.087761830382,3182.37145949273,21.997285847031,26.6185643863232,0,69.80838010041147,818.9182615314421,78.0440503395272,1598.178629706396,1692.1405171603103,0,1369.535497715621,9677.396530598795
11,0,526.283260303501,650.2831862326196,2187.438103860111,60.06646271735063,0,0,103.82871393423947,46.427677219836106,0,0,11.5832799581058,0,202.27161833167472,3788.1823025574386
12,0,838.270068840444,2824.0328241769125,12856.118376803684,270.6786453291735,514.522611658813,25.6971288008764,195.178979614557,1050.993783220628,38.2080263548501,447.1058215479469,317.2608801197759,95.0753004289373,1054.183258880809,20527.325705777403
13,0,8.65836815764557,238.928818659422,18870.311885599614,214.41043097156913,0,0,0,835.65343871573,0,0,118.468743724422,0,498.065004751401,20784.496690579806
14,0,0,2506.65126695877,15481.345721136142,245.07281615024772,0,84.0379247924909,6.91457006544474,867.6667005983415,104.057231745126,114.6212905275154,6.45359872774842,395.27516990936897,1266.6003758759273,21078.696666487125
15,0,623.420652541186,1598.6020034468106,4951.7703509631565,37.030959675721,2280.8922762210545,453.100959421621,453.6135391758883,256.57061564937135,121.931026669673,39.6984898481471,883.5118610684666,322.740745419121,3594.1862636926458,15617.069743792865
16,0,845.186074246041,2821.244649338447,3219.137928290293,703.461159709923,233.971445875359,676.275032277137,22.4911842491919,80.7359455897834,139.224763543522,48.2990717361684,2416.381732102307,1465.423369510072,2348.975496812524,15020.807853280769
17,0,73.60882877617621,387.04611191430047,5437.323803553594,488.7670192678693,13.1882392078408,0,55.0721370710402,581.8454354768852,94.75659961005101,849.0055074335348,358.4073589069198,0,836.2525669601849,9175.273608178399
18,0,553.1139090919446,7430.229326527375,4128.699893827415,540.19398760738,242.555444368012,1393.3497831280238,540.8298809355393,801.8574237761325,162.52026446414067,790.023122182554,3012.3722431912506,2602.2817935714256,3590.145510430411,25788.172583101605
19,0,1268.69049646719,1077.5473487327454,3179.5123780468075,0,199.609513151443,0,980.4613645801486,627.1685091500179,2396.5723826616972,63.6033763104704,1481.2404779005665,0,2033.1362315658123,13307.542078566898
20,0,1284.054168360016,1618.053976667308,1313.2925690715467,738.466589005129,313.904673782985,0,436.99237354538747,0,345.044391640915,236.24949531159172,463.655910060575,296.843470886582,5156.19358462015,12202.751202952186
21,0,30.0463284705826,0,1390.9436377725108,64.4524940259604,0,15.4601328420432,772.1688288943194,528.172977670017,394.8147826164076,545.3111815674332,1949.5433667935831,201.696640562254,2964.3205640498586,8856.93093526497
22,0,0,0,501.1657411966323,0,0,10.0015943877551,250.79255390269,541.112502863439,3258.3672558312287,517.4182931319685,848.1088318788402,0,758.5266691770222,6685.493442369577
23,0,139.1737265498295,0,1405.131515008527,0,0,337.03865375124013,292.29614191734186,0,4758.775599179673,1036.8648824857632,1812.0303447994347,1037.09715077423,1367.6508822066037,12186.058896672645
24,0,912.77086362414,464.12355593559494,3259.5010082875056,23.1052219245269,0,860.3369659672536,0,1681.978706953664,4843.667025161752,1867.9475449284616,2967.651533313499,1613.9819377624012,2986.370353828737,21481.434717687534
25,0,358.99098700490896,445.93029481639905,1360.051721158793,0,195.47027460019,0,32.2724600338532,402.31888902684346,574.2253366477606,746.163712250451,1561.7889954726527,37.7278948267743,4717.401318955597,10432.341884794225
26,0,284.76534351949533,136.082495297536,962.3668246467275,0,0,223.64188098282585,258.1655701906368,535.2990618668211,1293.990231142206,1527.170102153673,1422.9533085010098,401.304876611743,5180.404163251576,12226.143858164252
27,0,852.6068144209448,747.9079388974048,6728.235576948284,743.444273925869,55.6837149187189,1434.5979749588814,639.1235650707475,1191.1193183590524,18885.509937263872,1872.3665511027284,8834.805186303241,102.3378681109551,6398.69611264909,48486.434832929794
28,0,112.6348156393552,284.7522122205599,2327.4991286284458,715.4970821788,142.747659747806,1864.144658497799,283.9243656591821,30.5104609909898,2244.561691346149,1009.663062542971,7893.333371404256,404.75975194869704,4002.0719913865737,21316.10025219158
29,167.91275787984,2098.791306213945,2213.0569592986863,8710.471754688619,0,817.7713934959303,9244.126634411063,120.269245155147,316.49931674344487,18991.694021830823,1107.749091982536,18213.479523840684,1350.8624481875147,8388.309885289153,71740.99433901739
30,0,341.11868162717633,173.796776893621,1492.637143284839,44.0267741180616,0,233.717546338714,0,526.9898700280919,2194.173933172859,761.7331709474798,4315.970187464483,0,2625.881046840004,12710.045130715333
31,0,966.8005029868169,732.4929556752996,2469.8421688136573,263.630547486818,0,192.612522047556,774.4115501456326,482.1971636438364,5072.547407217181,2744.8311741658067,5228.434011477511,2994.56217795301,5528.267742941786,27450.629924554913
32,0,2307.9518660504746,785.5959015767376,6757.662834612341,0,140.467515865371,10188.799259065572,556.9186049630633,1287.7312687331,3129.545450926753,446.9918067733542,18095.95707259096,1091.6925955798613,9135.681229068614,53924.99540580619
33,0,388.83906773448314,41.8784048822633,42.24331550802139,0,0,0,17.8888888888889,0,291.1595146052647,32.2553767108089,303.09508190283196,0,186.0400475341651,1303.3996977667275
34,0,689.7746884624664,22.8695652173913,573.0293866122945,0,91.0670397184885,0,342.0787510268594,1051.22373074034,2699.573960581658,961.7688584517865,1732.2061197310916,0,1480.8865021656304,9644.478602708006
35,0,439.203875372505,104.012238457156,8299.223991548626,456.554731251013,405.548838386892,5243.053648963354,152.970630162124,3273.5947761447346,5960.238933953594,3606.831481373552,5888.893374010688,572.6164187931798,14011.094652173992,48413.837590591414
36,0,549.8981592360032,1906.177138067824,6882.666638575808,307.3056495963913,158.088263691865,325.275720085227,733.4023467100842,1391.1641998796713,2808.4585776129416,2956.9888163794094,5673.912507805346,1099.3232257648492,11013.234109752028,35805.89535315745
37,64.3517746593978,119.446375605012,1432.2005796018184,1689.0946504891324,855.0540538895793,0,445.2250014802598,0,0,444.013512303119,296.6337260837318,3062.8963697644267,626.5834437028414,2302.7874958917305,11338.286983471047
38,0,0,391.0142838680314,1233.7057701567294,1993.2849657754468,62.6043944019091,0,0,110.425311992514,0,0,73.1052631578947,134.470451943476,19.6041397649675,4018.214581060968
39,0,472.9300860268552,1076.2145906623928,1806.973614095406,0,47.1579701047743,285.247190865677,353.61077242393003,47.0818135711606,2636.647398749861,62.9416430333917,1417.487271837183,1107.2399084470053,3078.9504560549735,12392.482715872611
40,0,1352.3168811897922,1384.6206485350958,1806.892878159972,363.5189704274368,182.7794353991334,1378.1771250457666,389.9155467452798,31.9573618941708,991.4482356923462,458.295379017916,933.243287019649,0,2870.932802693216,12144.098551819774
41,0,1779.8183972028046,2633.4556333117503,4523.8184164247505,578.127369163232,0,1525.6057044853922,368.9807221578957,1255.327680982928,2002.1440105430809,893.4967225098626,919.2442990975761,0,2561.7080746700985,19041.727030549373
42,0,708.4026140404635,2776.315329895342,1884.3628589792472,254.56757040773616,0,350.182762681788,32.5586022283316,0,0,96.180936235547,369.91538333235417,0,737.157929247767,7209.643987048576
43,0,188.6440692646853,2788.8040913943623,3384.0026840397277,111.2283297571282,1398.4833679946753,0,1210.8608431668222,2244.3016254607046,5134.264784690224,747.8404589581395,6525.197977026106,656.6882726388208,5791.341189987231,30181.657694378624
44,0,0,1108.8131370066023,2854.247467095625,137.977866093655,51.4177377708453,868.67055233632,2755.249433441436,1426.8712824356355,3938.6427436023855,475.92506499639967,2556.666953266519,0,3057.85382812289,19232.336066168315
45,61.9197263816765,2064.094944381417,6878.411435526188,6544.28129524452,223.745910238344,798.4901479369939,511.74547117054817,1009.2465355152856,2752.3769067694307,3613.00550357919,1036.0183646637877,3846.054054272192,2127.073842601957,5788.453826489034,37254.91796477056
46,0,926.1488254529095,1322.5533840619453,5199.892568868791,1059.165253708701,0,345.366863143352,0,418.07089675815325,823.4363294775351,24.9158913081029,1410.8674975767503,49.3724137021442,1858.9143348398527,13438.704258898237
47,0,918.2485990876729,854.526053571078,2483.35745636354,0,196.765877358216,242.415560905323,863.7620638401678,109.724610996213,694.259755124421,315.702434792576,918.931886644448,0,1099.9652749850336,8697.65957366869
48,0,524.988901353891,1253.2859272734331,5742.113749814992,111.306780456761,49.9515898726514,198.320630134269,524.8199526948343,292.966345580563,691.4813315684939,1688.3074035364984,498.7870899017972,209.0329983496954,1548.8392965947685,13334.201997132648
49,0,1646.7420243166025,784.0774398841019,1798.8712214484008,0,579.8594477306042,529.3684422350208,39.7181752834891,105.4504355130264,5009.538910064911,1661.9033066366776,3395.2807234495567,0,2753.9578352093804,18304.767961771773
50,0,385.18393584903856,0,1353.9925104115212,0,0,166.481829398511,156.384135841525,0,0,239.453080143551,328.9321507786534,127.11984937822,1062.1409062287837,3819.688398029803
51,0,453.2859797799507,0,593.1802479772471,0,176.331642281764,262.056722280693,0,467.390904124613,1900.75746715703,925.7442243737141,1941.4150955986208,113.891235315301,1752.4298487671522,8586.483367656085
52,0,1007.4411440261856,0,300.7265011602916,0,127.600082112907,246.096371251392,215.770573155089,0,982.5002560501201,672.0288851632264,2834.1718411109237,29.25566280084071,3166.5661064450223,9582.157423276
53,0,933.7000210122163,89.2034171462723,3222.248285061116,0,54.3794863731984,461.74756214729666,332.568385436747,141.4195145128641,7886.431832710403,2273.768939871883,3597.59866235525,214.78603377901536,2716.4253805810913,21924.27752098735
54,0,670.3075369395365,181.1743788607382,2715.609822383345,0,39.283070181028,669.6326104414218,58.2850052537929,584.4931396154891,13054.29158501706,1766.2292524796092,2707.363236207298,1091.8178814130188,4235.202058408882,27773.68957720122
55,0,940.1126599719438,1154.4587939737007,1881.0410310406307,275.1259865001008,0,360.941731163879,956.4214937967384,1611.5333806342296,1006.8011876694987,1025.5181327322357,4570.499748161062,419.809373939472,1680.5957605433734,15882.859280126866
56,0,540.1773021259181,208.8526294031683,4570.763496707338,0,161.37408844752238,339.37205773434874,589.225452532611,28.220546634882695,3732.357721575153,3516.6294018204903,4503.3239763791325,0,2892.598442784025,21082.895116144588
57,0,2481.0226458252837,848.5370696256009,3419.83375291838,427.97095445424134,0,3348.1284158966787,309.4032875898789,843.9205589706613,12453.344199414712,1298.4277131892482,11886.90648758288,89.2078907121588,8278.004956908411,45684.70793308814
58,0,473.97960381529856,413.008204406725,771.7584478605662,0,349.13610025745095,675.6035889384668,441.6147718482972,638.527520649047,1025.944444921877,993.6591105405371,6456.2309380730485,1531.2111671237133,4001.5426417014687,17772.216540136495
59,0,859.6283810796828,1770.4514681704222,5992.0081120946925,0,0,1973.092541314626,1140.696546846214,1394.4895273829811,2177.308347441115,473.7082298282036,6953.987599329509,0,6761.25614001002,29496.62689349747
60,0,549.104636890844,331.59374727445345,3265.929985208574,0,0,333.1166280099869,1907.850159324075,453.0813779779511,1445.0299577172727,1095.5637211554342,5535.385230008606,0,2265.7058244209184,17182.36126798812
61,0,570.2637005925824,1312.817648792706,3452.4299389039693,0,0,330.62919247042777,1113.816197792848,2135.7197028225687,1698.5968596368116,551.7232633266616,1646.889397192762,0,5367.369488591097,18180.255390122435
62,197.170802125541,660.49251901776,254.3186472787772,598.1531420839146,0,966.62454357311,0,772.08501530752,595.2733550932223,2880.0923951611794,1191.7574308218743,1387.587294621669,2471.825874243293,3457.995034315124,15433.376053642987
63,0,273.653133641173,0,347.018863299087,10.1105442176871,0,323.031220398321,0,966.5751363829759,9257.52376939622,94.2666904124467,852.9972643748846,1380.5599911970312,1391.5630224479469,14897.299635767771
64,135.317504969285,2294.0599712000303,1275.1030556229882,7431.060066346968,483.03729022038107,649.8201075061847,2340.593231981258,1307.5157903150653,2567.203185023916,4120.599420990708,1144.9845561132115,7940.97452572169,0,10464.984590737413,42155.2532967491
65,0,168.094865219636,278.824838020163,1877.091939128709,0,0,195.4459002604275,730.3845875890513,1418.723282690798,519.3370143239143,3879.4094269217712,3914.3035252486006,0,4532.919778304366,17514.53515770744
66,0,1627.2644992525593,2529.096241464134,4895.556023773842,0,153.634267001355,460.20782351435827,620.8629593186913,2575.9166149962753,3908.533942225671,732.7098502401572,3763.172141053845,0,3092.026296019704,24358.98065886059
67,0,2165.759600543644,51.2927887927632,1032.1219333650383,415.83119581475,0,663.9870142457588,0,0,1867.0137796125068,541.6262956218906,2406.3421579760543,0,3179.544500222627,12323.519266195031
68,0,3745.495884334055,1394.6489972322836,5178.061196180394,134.51071904039011,87.6480190933853,8857.846639569032,2844.994592052132,3427.6450558149904,6740.730658144802,1213.9142503181026,31320.5890932371,254.59482315291,14142.550291502514,79343.23021967208
69,12.4034284134947,2891.8545433530426,3258.994654983256,6746.542925009983,0,121.614928908045,3044.0133514519453,783.089827256502,1209.077903709981,6894.997350792928,740.3195624673447,11652.75963031804,9.72222222222222,3701.894448225278,41067.284777112065
70,0,2325.4142109379527,115.99082342589422,3624.8101470962447,213.650400510647,68.1285450809949,397.2608102967928,349.2572951669863,693.7497661399151,2659.0725237508123,729.5084871470132,8951.48180295045,45.6321643199701,4472.435529606412,24646.39250643009
71,0,1692.0878447823966,417.771149225484,2351.9909924839685,2056.524298712469,0,73.3474056151281,1958.355260028824,173.4559160409315,2134.3699284921754,2274.6864335629043,6343.4238784601175,0,8313.976443240092,27789.989550644492
72,0,498.3641451041205,945.0982392823465,3332.3653415560593,237.98705014313,121.974482468992,878.458120112646,323.6825760044087,615.7008687670524,2233.6555197130056,197.8377525392992,13306.359640398166,0,5122.74618715502,27814.22992324425
73,320.015528840722,7472.177316171901,8826.391230690719,16798.719249645168,1425.9251038369712,1355.8254838354967,19922.77982403625,4191.530927865031,8071.1771724915825,6994.355807095865,568.272874391397,57008.9840576887,442.757959175542,19984.34103282108,153383.2535685864
74,0,1552.3278620133165,5305.786633388362,7459.794823088275,110.001943290643,694.352419796021,3903.4198677972454,523.381030410658,723.1630295421165,5317.351686217474,933.1381208550384,16533.885870009693,816.9166987555502,8469.339014014875,52342.85899917928
75,0,256.8827445545703,493.14329274963256,2775.8717670063807,490.262897537117,1036.431538678168,1442.623562856078,404.24599037615025,0,724.8986941517819,995.6273803599141,3525.046093739784,35.8894769927096,3190.749392461167,15371.672831463453
76,0,890.699877975261,91.78270710944741,1507.8312697673764,0,257.2482732951193,1232.9026991835633,1073.6035696304828,1264.4073100955409,744.1686677388745,192.9939309838188,3575.3692299660643,0,4437.051648463023,15268.059184208572
77,0,170.724017791563,117.4193492461865,2851.417956458297,361.03769590167303,0,1693.7751999839618,834.5573359020716,1217.589883978032,18318.881808720223,1088.9384644556303,8380.205982662277,983.6959267163636,7622.693707035412,43640.93732885169
78,0,1159.515010969854,51.9786142350623,3849.7215150283014,681.919060335582,188.3927890571259,1625.9650920781803,2140.0130712406035,2333.6376725341875,784.5530605433546,301.22324150907826,7940.723528561552,0,4688.590503900254,25746.233159993135
79,47.9784089820608,1480.8448949698177,1848.0511576333572,4338.708213184275,1259.7142477141242,10.9842697487672,5603.655195146604,418.7153062372872,1421.1094576699606,9299.83798164885,1449.2768209271844,11606.65453293638,620.6342232140565,5709.564501666487,45115.729211679216
