origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
1,42627.61505848011,968.3861208047115,13715.163647779447,259.25864774936906,38.13096377646018,8259.845482460265,1365.8715653458453,270.42332387483737,2569.226482810958,2502.6225324584575,609.9614195116718,154.8292930200654,17013.37865057556,0,90354.71318864785
2,25391.452433526803,6939.075826506081,17118.54878896385,175.65818668929614,0,12789.584134346624,3523.5453649109218,408.390629993326,2035.4550314195249,1405.4585302449125,0,550.2399224345357,12465.964928904526,0,82803.37377794036
3,17627.990033234186,0,2863.8869845354466,0,262.4240424274942,5767.304648944834,648.0983152593617,31.922551405378748,1445.9586053764622,2115.815233125679,358.8989174162792,1800.2185827061453,15932.56536660222,52.0063693117338,48907.089650345166
4,12703.94766675078,280.3221630566695,7495.272581688435,0,0,10151.26397172848,3760.5305021327417,1141.6624948338022,1989.0195956529897,2659.238813050857,434.61875267369567,296.8667848793828,23433.849128102964,0,64346.592454550795
5,54647.841613577475,3982.5002281014927,21319.240740976144,0,0,12710.12612861317,2240.992405636322,320.1199222794846,4428.375789547302,1365.7751103202245,0,1063.685388330532,22780.242594722276,0,124858.89992210452
6,17440.29842432936,9303.010208883064,11320.260155058346,0,287.5503111187992,7834.279746522499,830.282184398835,38.20485005483034,812.4643304097091,2109.265064870343,0,4727.980171761908,12495.989576783568,0,67199.58502419128
7,14907.262745404114,11774.837140615946,8071.155299936508,455.19017571508135,376.70505855729,9034.129590826156,2324.182083297795,529.7697175097971,1091.8770204411765,928.170623671576,0,515.6930679646182,11541.18157821636,0,61550.15410215638
8,1908.9479327527229,2340.9671458030907,4055.909259554822,0,1168.2540420896903,2245.8363725563986,821.6540020514083,32.47804158988811,533.6371337483831,746.9331665038737,0,895.0828037659363,14303.437458534032,0,29053.137358950265
9,8157.704505442532,1190.6762025437436,6739.898528643563,0,35.59175568508503,5235.324371052936,1010.3397590915732,262.52759942358875,936.6205542009858,1959.6092150417855,0,913.5378207052106,4749.886241365819,0,31191.716553196817
10,7356.062049626824,144.70404127514513,4299.412880777067,421.6527851473384,921.5451214861245,2702.043766439263,414.2522916288154,0,852.3962462638224,54.47598860016386,9.680375268131504,668.0185363910788,2624.4316131954315,16.717339791479336,20485.39303589068
11,993.38119099331,1257.47565723477,2396.5681726751845,0,274.68510693444483,1401.4780210762333,412.7745321261808,62.095661509400415,487.624123318185,73.04995788217957,0,878.3618876790342,2454.8114676054975,11.718349008790764,10704.024128043206
