origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
1,57608.554438590043,15577.95080646204,73186.50524505209,17168.207943595626,90354.71318864771
2,49624.735235686028,20162.433690915313,69787.16892660134,13016.204851339062,82803.3737779404
3,20754.301060197125,10420.004640839734,31174.305701036857,17732.783949308367,48907.089650345224
4,20479.542411495873,20136.33413007257,40615.87654156845,23730.715912982345,64346.59245455078
5,79949.582582655115,21065.389356396503,101014.9719390516,23843.927983052807,124858.89992210442
6,38351.119099389558,11624.496176256212,49975.615275645774,17223.969748545474,67199.58502419124
7,35585.150420228943,13908.129035746497,49493.27945597544,12056.87464618098,61550.15410215642
8,9474.078380200328,4380.5387164499525,13854.61709665028,15198.520262299968,29053.137358950247
9,16123.870992314927,9404.4214988108706,25528.2924911258,5663.42406207103,31191.716553196828
10,13143.3768783125,4049.5660079916752,17192.942886304176,3292.45014958651,20485.393035890687
11,4922.11012783771,2448.7406449209702,7370.85077275868,3333.1733552845317,10704.024128043213
12,11645.020949733667,16809.322644228534,28454.3435939622,14846.66957741972,43301.01317138192
13,16841.988108412137,11589.157772605446,28431.145881017583,2335.4238577213073,30766.56973873889
14,28110.534875175257,8369.4134032340971,36479.94827840936,8248.33906355589,44728.287341965246
15,14141.445686122304,7004.2004691807615,21145.646155303068,4302.414683114298,25448.060838417365
16,21329.252558731063,7511.6663168060804,28840.918875537143,21371.93219350197,50212.85106903911
17,9153.4088109282984,6557.3334927968544,15710.742303725154,8904.733782447802,24615.476086172956
18,24578.428615969107,17863.475584100306,42441.90420006942,22871.751423273417,65313.655623342835
19,12873.362768618983,16128.340028502771,29001.70279712175,12690.022135043486,41691.72493216524
20,12190.204712167126,11437.989183549173,23628.1938957163,17486.494016416233,41114.68791213253
21,8769.8612009162043,8141.7190451764991,16911.580246092704,8864.25238608745,25775.83263218015
22,12524.777431884118,4976.1506855169673,17500.928117401087,4180.338361128164,21681.26647852925
23,25184.504851195088,13459.650089734576,38644.154940929664,3584.456485922494,42228.61142685216
24,35608.948512130788,11268.344908320387,46877.29342045118,10062.003474668976,56939.296895120155
25,11651.935562385615,6838.515107985053,18490.45067037067,10811.100159045349,29301.550829416017
26,12462.034373515751,9232.078768423482,21694.113141939233,9770.455623551332,31464.568765490563
27,54181.699020980377,25884.300280878288,80065.99930185867,9195.990437306587,89261.98973916526
28,21703.025662084241,19269.386443627736,40972.41210571198,5103.04768912008,46075.45979483206
29,47191.180386008535,36749.711533128051,83940.89191913659,15491.937812471891,99432.82973160848
30,11587.876376451286,13512.639717474063,25100.516093925347,12917.196297170824,38017.71239109617
31,48298.12641664681,31149.708925660456,79447.83534230727,19983.630561331564,99431.46590363883
32,41811.153709766579,23214.138556989434,65025.29226675601,14421.936432567314,79447.22869932333
33,1632.3352472353854,3303.3899719780993,4935.725219213485,1189.9472357337263,6125.672454947211
34,6370.6070363684303,10366.678440699468,16737.285477067897,5312.338455574249,22049.623932642146
35,35984.630417719738,24065.068670955108,60049.699088674846,36657.39556265728,96707.09465133213
36,35220.160773477422,27736.988077810704,62957.148851288126,25694.80863830767,88651.95748959579
37,9288.7218419226811,8744.443259980324,18033.165101903003,2841.3823902932672,20874.54749219627
38,1854.195924563687,4655.5005940968385,6509.696518660526,4934.118367222134,11443.81488588266
39,16150.670813804263,9471.622032825826,25622.292846630087,5563.998677275262,31186.291523905347
40,16023.86982820905,9088.3537353622069,25112.223563571257,7436.2267264608945,32548.450290032153
41,24056.280880332321,17962.493566740806,42018.77444707313,13150.23586881279,55169.01031588591
42,7563.9319938086073,4479.4064864512502,12043.338480259858,5364.807620942626,17408.146101202485
43,35838.910940057074,27456.271148083168,63295.18208814024,12755.04708270182,76050.22917084205
44,17545.251925132769,24425.209581399311,41970.46150653208,10782.748308963044,52753.209815495124
45,34285.789641104326,42523.252885257352,76809.04252636168,10847.18264575552,87656.22517211718
46,16344.229545350636,18975.723254014694,35319.95279936533,22205.37352806196,57525.32632742729
47,6591.5312146335309,15248.445141345072,21839.9763559786,10595.467555459414,32435.443911438015
48,11424.249863419707,19272.221880707431,30696.47174412714,7742.423552289208,38438.89529641635
49,19069.96193381794,12858.417589162111,31928.379522980053,5542.6131785893585,37470.992701569405
50,5650.7510183723234,6226.8068407917199,11877.557859164044,5594.026157137157,17471.5840163012
51,11567.996487053217,13754.22274634088,25322.219233394095,3036.5563442788925,28358.77557767299
52,10709.705026965557,10211.930920808592,20921.63594777415,3427.887463473095,24349.523411247246
53,26307.879211203075,19342.457555233421,45650.3367664365,10417.200886205195,56067.53765264169
54,26318.983454636666,20316.488153661776,46635.47160829844,9828.640386792147,56464.111995090585
55,20632.026386625988,18713.213063853258,39345.23945047925,11374.88596397595,50720.12541445519
56,25424.883025503495,14957.262328210543,40382.14535371404,13887.83352212498,54269.97887583902
57,32914.205153884534,20970.880189002488,53885.08534288702,15713.97949287288,69599.0648357599
