origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
1,16887.158328665006,88.098667332413314,0,0,0,0,38.121654578144536,0,0,17013.378650575567
2,12431.107064672684,0,0,0,0,0,34.85786423184161,0,0,12465.964928904525
3,15401.920501097798,0,0,0,0,0,238.99581351965162,0,291.64905198477112,15932.56536660222
4,22191.302915410448,0,0,0,0,0,1242.5462126925172,0,0,23433.849128102964
5,21255.234320762076,0,0,0,57.076540134282141,0,1176.2826818411593,0,291.64905198477112,22780.24259472229
6,12282.031945846384,142.96450301892972,0,0,0,0,70.993127918253606,0,0,12495.989576783566
7,10887.446246453628,158.22954105360407,0,495.50579070912966,0,0,0,0,0,11541.181578216365
8,13996.085493247481,307.35196528655155,0,0,0,0,0,0,0,14303.437458534032
9,4517.8146840854888,120.69038973221262,0,6.3183906992882131,0,0,105.0627768488294,0,0,4749.886241365819
10,2624.4316131954315,0,0,0,0,0,0,0,0,2624.4316131954315
11,2454.8114676054975,0,0,0,0,0,0,0,0,2454.8114676054975
12,14017.594212550772,0,0,0,0,67.062421892450473,142.15085571968535,0,0,14226.807490162908
13,1774.9713631190812,0,0,0,0,4.9302502153059926,0,0,0,1779.901613334387
14,6226.4509993341826,636.22220236881708,0,54.616306560966876,0,0,72.483532422181653,0,0,6989.773040686148
15,3987.8562123746392,62.473533319392232,0,0,0,0,0,0,0,4050.3297456940313
16,18998.705414098051,0,0,1309.3738522925846,0,0,0,0,0,20308.079266390636
17,7769.9349290792297,85.435505993767748,0,0,0,0,0,0,0,7855.370435072999
18,20449.282111374032,256.31890675134952,0,0,0,0,0,0,0,20705.60101812538
19,12046.832389686619,235.78756942881782,0,0,0,0,407.4021759280505,0,0,12690.022135043488
20,17272.780065596729,0,0,49.255513533883168,0,0,164.45843728561601,0,0,17486.49401641623
21,8064.387999630153,0,0,0,0,0,87.662925712573568,0,0,8152.050925342726
22,4180.3383611281643,0,0,0,0,0,0,0,0,4180.338361128164
23,3546.1835197657178,0,0,0,0,0,0,0,0,3546.1835197657174
24,9480.8253630937907,0,0,0,0,0,482.42370241332122,0,0,9963.249065507112
25,8606.0012238796353,0,0,0,0,0,1769.3637277836333,0,30.698333258216344,10406.063284921484
26,8126.5524494393812,0,0,0,0,0,61.36261553693609,0,0,8187.915064976317
27,8169.3227492177466,138.77985249737293,42.394234696430345,0,57.076540134282141,0,454.95613227921649,0,0,8862.529508825048
28,4624.3444968978156,0,0,0,0,0,316.25563764086667,0,13.973918740406344,4954.574053279089
29,14889.566663380456,0,0,0,0,0,602.37114909143679,0,0,15491.937812471891
30,11908.950967604784,0,0,0,243.64416019060579,0,500.4810598313357,0,0,12653.076187626726
31,15216.84659275834,54.603621695400662,306.17187228435978,0,243.64416019060579,0,1729.3687511512242,0,208.73517811525505,17759.370176195185
32,12525.336336217917,116.7511231759194,45.340607307278312,0,17.733807667681106,0,1345.6196756650907,0,30.698333258216344,14081.479883292104
33,1071.9995181923712,0,0,0,0,0,28.137930470795752,0,0,1100.1374486631669
34,5312.3384555742487,0,0,0,0,0,0,0,0,5312.338455574249
35,35009.532004909473,34.987660054798056,0,0,0,0,454.75020276737024,0,0,35499.269867731644
36,25316.600148346115,0,157.49041068637578,0,0,0,83.471719274820998,0,0,25557.562278307312
37,2596.5061632844076,28.432034500734851,0,0,0,0,0,0,0,2624.9381977851426
38,2608.7046366250074,0,0,13.821479654692927,0,0,0,0,0,2622.5261162797005
39,5563.9986772752618,0,0,0,0,0,0,0,0,5563.998677275262
40,7064.5287732736106,0,0,34.796332189429577,0,0,0,0,0,7099.32510546304
41,11332.684117682504,608.57924305943106,0,0,0,0,128.33697733978505,0,0,12069.600338081718
42,4633.4823824036694,0,0,0,0,0,0,0,0,4633.482382403669
43,11390.599048193921,0,0,0,0,73.142314475543344,512.68104441700154,0,530.52861316146891,12506.951020247934
44,10782.748308963044,0,0,0,0,0,0,0,0,10782.748308963044
45,7720.6195104450298,166.88805778007293,0,0,0,1111.1747908601908,1848.5002866702209,0,0,10847.182645755514
46,20641.018443173649,530.49507281997057,0,0,0,275.48465954623856,758.37535252210046,0,0,22205.373528061955
47,9471.6383135312644,174.35308640852813,0,0,0,0,552.05377892720696,0,0,10198.045178867
48,7414.639540092523,0,0,0,0,0,0,0,0,7414.639540092523
49,4503.5113587147234,0,0,0,0,0,341.27147229805291,0,0,4844.782831012776
50,5126.7216963888914,0,0,49.255513533883168,0,0,60.661189920790214,0,0,5236.638399843565
51,2866.8814460325052,0,0,0,0,0,0,0,0,2866.881446032505
52,3332.3673418783551,0,0,0,0,0,0,0,0,3332.367341878355
53,8844.8046814019617,728.005331777474,0,0,0,0,553.87173513106313,0,0,10126.6817483105
54,9018.9286460536896,0,0,0,0,0,549.09237644056441,0,0,9568.021022494255
55,9073.3821557744523,0,0,0,0,0,1352.9463275804401,0,84.643568098450231,10510.972051453344
56,12877.331075098984,0,0,0,0,0,631.26958912266002,0,45.771929421796457,13554.37259364344
57,13164.222561051327,14.837527741471208,0,48.984025257587007,0,0,1264.9154438619141,0,417.68295927704293,14910.64251718934
58,10897.120511573672,0,0,0,0,0,0,0,1320.8912460104964,12218.011757584169
59,13370.553216663411,0,0,0,0,0,0,0,0,13370.553216663411
60,6458.2825215042076,0,156.33962934395038,0,0,0,262.05866403644626,0,0,6876.680814884604
61,4446.4099614975275,0,0,0,0,0,932.32343882234716,0,0,5378.733400319875
62,1509.3273845770645,0,0,0,81.743883366487296,0,683.69154413583351,0,0,2274.762812079385
63,288.08103927847037,0,0,0,0,0,205.23889490129295,0,0,493.3199341797634
64,12984.196909798846,0,156.33962934395038,0,0,0,592.84659791557726,0,84.643568098450231,13818.026705156824
65,9176.8074561177709,0,0,0,0,0,459.99235199077486,0,0,9636.799808108546
66,6261.2630056161315,0,385.86030484035518,0,0,0,680.73720962094694,0,136.53908532457206,7464.399605402006
67,2109.9751612312157,0,0,0,0,0,214.27581277233799,0,0,2324.250974003554
68,15838.227040786993,429.22598927019158,0,0,0,81.28191384127102,406.1587825484599,0,0,16754.893726446913
