destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
1,40502.75595197997,968.3861208047115,15838.989967992928,259.25864774936906,38.13096377646018,8259.845482460265,1277.1930875925586,457.1641603341011,1769.5174028529511,2502.6225324584575,0,154.8292930200654,18456.2364924545,0,90484.93010347644
2,25359.288938903766,6468.133422642508,18948.01859564743,175.65818668929614,0,12754.726270114785,3336.336868028606,408.390629993326,1161.127074853422,1405.4585302449125,0,550.2399224345357,12503.841584833324,0,83071.2200243859
3,18395.00370304558,0,3022.9387172689676,0,262.4240424274942,5678.665778673248,555.7842420742352,31.922551405378748,1445.9586053764622,2115.815233125679,358.8989174162792,1800.2185827061453,15225.442824213433,52.0063693117338,48945.079567044566
4,14239.590779133425,280.3221630566695,6735.165079911929,0,0,10151.26397172848,3151.460854659231,1320.5600260469469,1326.5029209602935,2659.238813050857,434.61875267369567,296.8667848793828,23969.079690764243,0,64564.66983686515
5,56104.95265233467,3532.1162220388987,20817.727217142885,0,0,12832.301786720698,1989.4387915543084,320.1199222794846,4884.006284681604,1365.7751103202245,0,1063.685388330532,22926.024650931475,0,125836.14802633482
6,16871.119917884604,9542.932044241932,12371.604618079797,0,287.5503111187992,8325.96837359389,408.14620645755053,38.20485005483034,975.1006753775613,2109.265064870343,0,4727.980171761908,12642.797404129273,0,68300.66963757054
7,15415.313192161278,12899.138108636413,7925.906051363426,455.19017571508135,376.70505855729,9935.737079967155,1984.9453146346368,529.7697175097971,784.5847437365419,928.170623671576,0,515.6930679646182,11541.18157821636,0,63292.33471213413
8,2003.199457844602,2340.9671458030907,3284.0585932063636,0,1196.3833342057787,2245.8363725563986,1542.7441393394342,32.47804158988811,478.88904785940696,746.9331665038737,0,895.0828037659363,14246.097720319294,0,29012.66982299408
9,6472.619837013341,1796.1358925314487,6943.992027129452,0,0,5207.230619892222,772.0834732808053,262.52759942358875,971.7357922648868,1959.6092150417855,0,913.5378207052106,4784.362677572804,0,30083.834954855545
10,7277.866365015963,144.70404127514513,4339.210209256822,421.6527851473384,957.1368771712096,3065.6648788824555,386.05260195219296,0,852.3962462638224,54.47598860016386,9.680375268131504,643.2700909470713,2604.6953593806543,16.717339791479336,20773.52315895245
11,944.2271114707751,1576.7581385837757,2170.091660548789,0,274.68510693444483,1401.4780210762333,396.2887802597764,0,487.624123318185,73.04995788217957,0,878.3618876790342,2505.1887801061075,11.718349008790764,10719.471916868086
12,3233.9275763075448,1831.048123292685,6235.200807751848,0,142.32827343328117,11379.61167443088,4610.299209558466,63.8706885906309,2073.111274639799,644.6049093798935,540.8307040568925,619.8620872568096,14068.05761644021,28.4356888002701,45471.18863393922
