destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
1,57607.521652303403,14266.342665698341,71873.86431800174,18611.06578547457,90484.9301034763
2,50951.099143883002,19066.039373235057,70017.13851711806,13054.08150726786,83071.22002438593
3,21680.366462742037,10239.05169738302,31919.418160125057,17025.661406919575,48945.07956704463
4,21255.078022102021,19043.645339119506,40298.72336122153,24265.946475643625,64564.66983686515
5,80454.796091516488,21391.64189555632,101846.4379870728,23989.710039262005,125836.1480263348
6,39073.206891325121,11856.685170354171,50929.89206167929,17370.77757589118,68300.66963757048
7,37072.252586433497,14163.207479519704,51235.4600659532,12056.87464618098,63292.33471213418
8,8824.6085310598355,5046.8807678490011,13871.489298908837,15141.18052408523,29012.669822994067
9,15212.747756674244,9173.1866999032882,24385.934456577532,5697.900498278015,30083.83495485555
10,13140.57027786648,4384.9874307582459,17525.557708624725,3247.9654503277256,20773.523158952452
11,4965.7620175377851,2370.1592315451653,7335.9212490829505,3383.5506677851417,10719.471916868091
12,11442.504780785359,19340.764149456827,30783.268930242182,14687.91970369702,45471.18863393921
13,16720.736430600016,11856.744066812844,28577.48049741286,2148.8866567131317,30726.36715412599
14,28710.269099675108,8723.0583907580367,37433.327490433156,8341.884695182924,45775.212185616074
15,14360.636505890325,6826.585232804724,21187.22173869505,4424.337886623203,25611.559625318252
16,24366.247776121796,6413.2889985321581,30779.536774653956,19957.01416499757,50736.550939651526
17,9000.8894367233552,6373.3199823862324,15374.209419109588,9241.601421301146,24615.810840410733
18,25234.602761143731,18380.515532117708,43615.11829326144,23515.204503380835,67130.32279664227
19,13134.494424580747,15917.581313951307,29052.075738532058,12620.565312201705,41672.64105073376
20,12015.830826102729,11603.220781070226,23619.05160717295,17486.494016416233,41105.54562358919
21,9090.6932418648121,8141.7190451764991,17232.412287041312,8872.857889517021,26105.270176558333
22,12701.299440454361,4940.4625614480719,17641.762001902433,4236.21243211093,21877.97443401336
23,25237.401353622539,13569.824949284906,38807.226302907446,3591.9678115005454,42399.19411440799
24,35847.144721858233,11329.349644641314,47176.494366499544,10275.117437022114,57451.61180352166
25,10753.465675961446,7219.6338729138188,17973.099548875267,11028.9011143093,29002.000663184568
26,12771.529320433609,9639.5897726837102,22411.11909311732,9369.126819614921,31780.24591273224
27,55957.653688384395,25137.841639440987,81095.49532782538,9395.587630294602,90491.08295811998
28,19329.48451342203,18609.462084301271,37938.946597723305,7643.930719714728,45582.87731743803
29,48325.606646356144,36088.671762407401,84414.27840876355,14532.531624608107,98946.81003337166
30,11363.259487229616,13165.106552789428,24528.36604001904,13014.923577824324,37543.289617843366
31,48657.086944447401,31094.652053920337,79751.73899836774,19233.131111093273,98984.87010946102
32,43310.388245814589,22980.277285149506,66290.66553096409,14186.163654919184,80476.82918588328
33,1017.0373250702788,4140.3189171162749,5157.356242186554,971.0081634877355,6128.364405674289
34,6050.650289084042,10812.855216529737,16863.50550561378,5396.869761264698,22260.375266878476
35,36611.74146717487,23879.521410122645,60491.262877297515,36424.14298813674,96915.40586543425
36,35301.870682429893,27104.316824774476,62406.18750720437,26240.825893960337,88647.0134011647
37,10004.383229410463,8786.5809583259106,18790.964187736376,2869.5116824093557,21660.475870145732
38,1863.8257373113231,4824.6481937187527,6688.473931030076,4962.013198600198,11650.487129630274
39,15333.629208711151,9533.5325073118402,24867.16171602299,5324.039267063768,30191.20098308676
40,15572.829099681154,9200.3506786022317,24773.179778283386,7676.045848270949,32449.225626554333
41,24050.551521100479,17404.744024898406,41455.29554599889,13572.563282248935,55027.85882824782
42,7467.763431910892,4567.4304102343585,12035.193842145252,5369.737871157932,17404.931713303184
43,37094.326105538064,27815.786920415372,64910.11302595344,12406.233525768544,77316.34655172199
44,16709.490536953497,26236.912308517618,42946.402845471115,11049.224830517562,53995.627675988675
45,34905.724025050884,41271.361794375152,76177.08581942604,11289.247150587558,87466.3329700136
46,17008.948539769543,19307.205523838122,36316.15406360766,22123.615656366095,58439.76971997376
47,6328.9790011166842,15497.231944525312,21826.210945641997,10595.467555459414,32421.67850110141
48,11474.690808231469,20206.745956836894,31681.436765068363,7412.744156344128,39094.180921412495
49,19026.005943622633,12908.446680242398,31934.45262386503,5534.049158511508,37468.50178237654
50,5641.9677756935635,6938.574798581596,12580.54257427516,4901.512478970585,17482.055053245746
51,11659.363211121052,13546.79003271468,25206.15324383573,3152.6223338372597,28358.77557767299
52,10525.666906356633,10178.513569634539,20704.180475991172,3399.186509035285,24103.366985026456
53,26168.433860665245,19743.936021453232,45912.36988211848,10003.507029384302,55915.87691150278
54,27428.164886700917,21828.750299644511,49256.91518634543,9920.435254710768,59177.3504410562
55,21386.164291530204,18383.44289905874,39769.60719058894,11491.873905130184,51261.48109571912
56,25861.972095620113,14208.916224998726,40070.88832061884,13702.717383944506,53773.60570456335
57,31452.602794694085,21261.330369307318,52713.9331640014,14315.517103551698,67029.4502675531
58,23577.133482562516,26472.385680692081,50049.5191632546,12913.703494950036,62963.222658204635
59,38923.403426038523,33141.797291769959,72065.20071780848,13576.697938126888,85641.89865593537
60,12312.782644696132,22016.616790624128,34329.39943532026,7514.508841270488,41843.908276590744
61,23979.063214207908,23615.14349891508,47594.206713122985,5323.008044916136,52917.21475803912
62,12645.518086333228,21853.554802526094,34499.07288885932,4744.484527529409,39243.55741638873
63,15764.215073206513,13124.691951881314,28888.90702508783,415.4055939542737,29304.312619042103
64,29819.998552176192,43599.355821165496,73419.3543733417,16969.22459467143,90388.57896801311
65,15868.712483903499,25346.357327361889,41215.06981126539,12241.335578356631,53456.40538962203
66,21734.355670376477,31450.619379508629,53184.975049885106,7969.960959590974,61154.93600947608
67,8955.8881326553947,12559.220580371029,21515.108713026424,3351.4710269165143,24866.57973994294
68,42061.215363662755,41941.174090681801,84002.38945434455,19805.914400664667,103808.30385500922
69,28083.103332813931,19619.468746075469,47702.57207888939,15490.527585493888,63193.09966438328
70,19484.260688546248,20918.167756258448,40402.4284448047,13908.895294199554,54311.32373900425
71,23352.107022250028,34623.442691695986,57975.54971394601,22514.01613457731,80489.56584852331
72,14524.188654606176,20771.694869323452,35295.88352392963,4206.050105198168,39501.9336291278
73,62978.081737983819,65587.988196342019,128566.06993432585,24733.3559486678,153299.42588299364
74,40744.767066900284,21885.712989259864,62630.480056160144,10169.102512578647,72799.5825687388
75,9452.4933625257436,12321.543386068968,21774.036748594714,5520.778106637094,27294.81485523181
76,12619.017131562379,13763.803997663317,26382.821129225696,4387.684900370939,30770.506029596636
77,42184.424227572774,31096.514491673483,73280.93871924626,12547.943087551086,85828.88180679735
78,18361.55705405588,16529.679401164376,34891.236455220256,10073.002462690702,44964.23891791096
79,41981.96578850392,26510.101874022559,68492.06766252648,12016.130969143947,80508.19863167043
80,23491.893954014758,22355.042161491034,45846.93611550579,13070.530787605663,58917.46690311146
81,22095.128452986894,29914.744105674657,52009.87255866155,5351.011083768936,57360.88364243048
82,49729.985145402949,46352.831451583603,96082.81659698654,16578.14945768495,112660.9660546715
83,23876.112359060808,30061.580681042105,53937.69304010291,14618.845080806888,68556.5381209098
84,13914.343102987819,25000.149745965609,38914.49284895343,9381.018785692171,48295.5116346456
85,2278.9536224879353,8440.1767020906482,10719.130324578584,2296.7401416839784,13015.870466262562
86,3554.0896512800691,3509.2714764763141,7063.361127756383,345.58122671670174,7408.942354473084
87,10584.262617841214,21933.035454594436,32517.29807243565,4122.8501031701135,36640.14817560576
88,22634.760830259933,43425.056757231294,66059.81758749123,18568.547570079285,84628.36515757052
89,4329.0585354149252,8527.6570303292501,12856.715565744176,1555.134192015769,14411.849757759945
90,9251.6277592648894,11408.843640933321,20660.47140019821,6345.002853753249,27005.47425395146
91,32140.344018402197,15295.005819230655,47435.34983763285,5256.811356203054,52692.161193835906
92,19849.814222437144,17230.076554228421,37079.89077666556,2380.276002609958,39460.16677927552
93,43993.837712854525,21462.44220079681,65456.279913651335,7739.346374077845,73195.62628772917
94,18409.686135359789,14586.644573504695,32996.33070886448,6890.247153848597,39886.57786271308
95,6516.3710623874795,19429.589887088838,25945.960949476317,4486.870588932837,30432.831538409155
96,10970.798116941887,16247.072191579626,27217.870308521513,1814.8672760833033,29032.737584604816
97,6507.8492607350036,15186.578983863739,21694.42824459874,4022.6333176823214,25717.061562281066
98,4824.5679034196801,9273.2860313305973,14097.853934750276,6310.110780184934,20407.96471493521
99,14170.426271229808,11490.186578680299,25660.612849910107,4504.465375668889,30165.078225578996
100,63724.728866886755,47334.424176940331,111059.15304382709,19047.288404289982,130106.44144811708
101,13608.399504212437,11708.349838155133,25316.74934236757,1075.8199013056262,26392.569243673195
102,10584.056229218833,14518.620872523137,25102.67710174197,2284.128515896489,27386.80561763846
103,3704.5435344097336,5137.4430283068941,8841.986562716627,375.51087948436015,9217.497442200987
104,2965.9360348669375,5227.7738841381533,8193.70991900509,2191.8168294231104,10385.5267484282
105,8388.2104630676331,15966.845170832987,24355.055633900625,4699.515388104375,29054.571022004995
106,14848.656998725761,10548.891160829364,25397.548159555125,5044.742070251453,30442.290229806575
