destination_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
1,1967.4282005082232,8095.9383384005105,48967.046427907917,7115.8434893352551,3460.410285310722,1240.9682701193515,1358.4276424897087,861.96362663261425,10256.202054008809,7160.701768763216,90484.93010347633
2,671.80471925610345,29320.761347608328,23186.940174014409,2734.0549153563011,19961.296085601229,875.18420353079898,1105.4570710779562,0,3166.1888223509786,2049.5326855898024,83071.2200243859
3,750.17216646093493,4441.7518398064885,23825.982443556208,9243.1868879220183,3040.4666529752762,1585.0122751331705,1160.7166466384674,0,3596.326827463774,1301.4638270883036,48945.079567044646
4,435.29892556910772,7055.205613485462,27719.625871969933,6016.7798609849669,2350.7366780104658,1284.8199709661633,7336.4200893456891,0,9469.1872875056961,2896.5955390276617,64564.66983686514
5,4388.2143331795178,16856.448084519838,74660.661303381232,3994.968195273992,3973.8074468459013,2251.372882812047,4315.4308626098036,1358.0732130741039,8952.5375495962271,5084.6341550420939,125836.14802633476
6,1187.5482147318523,17618.051143894641,32447.448806229171,4632.4309226758623,2920.3686175437215,3823.2058580720181,1380.0405788670687,129.89154918835274,2453.3576423432105,1708.326304024587,68300.66963757048
7,4332.2282384704995,12210.6878908853,23841.706083855552,8234.0313538256887,5357.4420834187349,543.85677976489183,2488.1002080385401,1190.7136904017848,3456.9534222543734,1636.6149612188053,63292.33471213416
8,2356.2620614848652,4462.2543566769928,5797.8438913446116,13140.474393151968,1229.3735957436984,250.50940683290287,938.38485489429343,0,542.72381820342503,294.84344466129915,29012.669822994056
9,2113.3772959015569,790.80073540942419,13517.460970914191,10158.079116011737,433.51547070645893,744.95430612372888,975.42132003183644,0,1350.2257397566152,0,30083.834954855545
10,844.84418828736318,4736.2461186148548,6081.1659955856485,7607.6423742471889,460.28634416603364,129.85538945290526,750.59751525972683,0,137.05160029662107,25.833633042106928,20773.523158952452
11,923.50248058934335,3247.3616285321364,987.43465987530112,3932.2065865225618,289.27535868046101,566.2535445746455,417.68962077685092,0,355.74803731679049,0,10719.471916868091
12,2507.9084899767331,14895.651222363607,12694.040263091789,8493.4908201499129,2345.9304108654878,1550.6432148536485,460.87437630470589,0,1384.5612932926845,1138.0885430406399,45471.18863393921
13,108.65843590951221,20348.550234603019,1821.0999579435413,647.03784082338655,6528.7468760271222,31.657250592104379,62.86697620510914,0,1177.7495820222045,0,30726.367154125997
14,1860.4368998018213,16520.645408962395,7226.8206950092863,6158.1831897720622,11284.611649105071,241.41066008160294,352.78799460845494,262.42506957737669,1496.0286778811737,371.86194081683186,45775.212185616074
15,1751.1036527894535,7122.5005501684791,7456.3263713184924,2617.0475868649542,2942.1640010688052,1021.6691059893426,456.16739543189033,0,2244.580961686836,0,25611.559625318256
16,11167.935080668132,6897.7222216116543,14943.802375008951,10007.375311303711,2784.2532783221745,928.70983582546683,1670.777436377309,376.06989942200232,1959.9055011121316,0,50736.550939651526
17,288.88662747163721,8291.9384019540885,7591.9114430542113,3356.2567379719358,2497.4519920743373,428.8325233921405,1005.4354625589159,0,1155.097651933474,0,24615.810840410737
18,7673.4039018310104,6296.0425878158985,22777.151270245031,17208.98499521377,3616.4364080573591,4205.7653952746823,1239.6392463301991,115.90020063772532,3624.8813701265171,372.11742111007578,67130.32279664227
19,1645.0950138596525,4876.9082490560395,15519.746255510778,11058.307620814314,1454.2333638375401,4788.6908865883797,664.391821756534,494.66204658289024,879.98459674268736,290.62119598494507,41672.64105073377
20,2157.439631132228,2527.4044476921313,19586.176644128107,10606.669029024624,1481.7475715216319,1888.8248842571024,1199.2788924019087,0,1658.0045234314446,0,41105.54562358919
21,629.9529041097278,2759.0822870584475,9027.6975354870028,9529.4170691341751,1064.9940787010034,1602.1694039717388,1006.6766273825104,0,485.28027071372588,0,26105.27017655833
22,274.08613252332725,1522.5221833065621,10437.677381154108,6401.2381130807162,486.19811709786978,1493.9030547916675,685.34597469528205,0,439.77090864742121,137.23256871641408,21877.97443401337
23,125.5697081687606,1277.7045155218145,13684.253054478773,15509.662392419878,120.5410983086512,8334.9854518878874,1467.2590292092032,0,1357.1640173513752,522.0548470616535,42399.194114408005
24,1858.8288553095754,4357.064018899292,19348.322510240887,22953.074238264049,1193.1840405441155,4184.8498432571014,377.92596638438079,186.19340531519708,1436.5618199183573,1555.6071053887181,57451.611803521686
25,1054.7718558284419,2506.4533274497708,13915.720847983182,6001.709564515525,995.68256388852592,1544.1232842809936,2265.9528594249109,0,704.03416590809252,13.552193905122932,29002.000663184564
26,756.11258322288791,912.39549569537189,13760.664426183414,9452.1034216322005,1104.6876142496656,3266.7064584501991,1056.2063530962969,0,1471.3695602022033,0,31780.24591273224
27,1536.9817970885965,6021.4980354993368,43793.304294117268,11947.497498505931,8014.0049799953358,11247.917682701207,3919.064644033685,0,2278.1607392885799,1732.6532868900758,90491.08295812002
28,1376.915176170362,2450.8774611356439,19867.723591775051,9828.2874684319886,1101.2222167327527,3614.0939065281823,2978.3737484123894,584.46850045620931,1145.5720374603725,2635.3432103350701,45582.877317438026
29,2767.9136421238445,4416.7980083402099,58684.749478847007,6696.3603030053919,2323.2969740738563,10397.628822543094,7613.4534609794291,0,3224.7756310418572,2821.833712416983,98946.81003337169
30,790.90427014637066,1831.2449999575958,14522.131480260085,8142.4285367572547,2061.9416489835485,3495.4687813621094,2964.3516802280865,40.258022260097142,2726.0213937298968,968.5388041583326,37543.28961784338
31,2294.4058933157467,1477.7540538686492,32133.594609639174,34078.892205776654,1893.838154644825,12952.999798350351,8146.9053021647323,0,3204.6380458017293,2801.8420458991477,98984.87010946102
32,2463.3504013147362,6594.2656745341319,44637.218615479127,9302.7693558899555,1253.134855638204,6596.9264896329723,2897.3719882454611,162.88655418847208,2197.2341579454678,4371.6710930147747,80476.82918588331
33,416.41680414550603,84.68864299207749,1025.4585954817524,2687.6162543967321,571.7433985774137,690.7061430085804,114.43073871719608,0,354.22392810318343,183.07990025184773,6128.364405674289
34,221.32423835007384,368.33969177048471,9795.861433908145,8518.5262883780724,428.40671055800306,831.51896682150732,1294.2076447506922,0,661.52195008222759,140.66834225927036,22260.375266878473
35,1780.5905011563002,7479.4287087733992,47488.185093576263,21517.074960327263,3305.0940363848908,5509.645444778087,3709.7156866149544,0,4387.569530885442,1738.1019029376562,96915.40586543427
36,5709.7387053935508,7459.4902269169843,40703.058569710709,20099.672694230689,2741.7364572025549,3188.6008801618582,5829.9504661963829,154.34653760782388,1820.3803723658368,940.03849137828047,88647.01340116467
37,1452.0470334488209,917.41485185835779,11097.506115350488,4479.8637106244687,502.88768787793549,105.44014302920297,1099.7089076847153,0,1520.7337703894334,484.87364988230775,21660.47587014573
38,114.07466427492632,2136.1572223701623,3236.4113818513561,5391.0155797822263,201.0228385280804,99.369989855384446,311.63048757833644,0,160.80496538980134,0,11650.487129630275
39,1695.1043769354662,2249.1136712834195,9017.7464242694714,8246.5469564165651,1099.3814308479427,4929.8994578734455,1694.0684214710029,0,1259.3402439894453,0,30191.200983086757
40,1907.338255213436,3126.902540017139,10516.938761750895,11807.806347047728,806.53635258426243,1378.6438873032603,869.11291594903423,0,1249.0206832798276,786.92588340874431,32449.22562655433
41,4032.4034954487593,6437.1979228713963,15037.498934999438,17794.129859149227,2490.7939869383854,4428.4129067766753,2870.6310570357641,126.2829017667474,1810.5077632614273,0,55027.858828247816
42,2090.964443274318,3154.9673089097741,3654.489943940991,3159.1392481178541,1490.91476498159,51.432201345939951,2508.4868933731418,0,1122.5271130832764,172.00979627629908,17404.931713303184
43,2687.6258278798832,8315.9035620000795,26800.942285924906,25339.528360057604,2590.2433974035539,4004.3651218329283,2293.3497854398283,0,4480.6759268793012,803.71228430387691,77316.34655172196
44,1753.4054168385746,3961.1221465608883,20940.117627301486,5361.3548039546704,806.17085727339679,14386.837111410636,2485.2966160779147,0,3153.3392397869852,1147.9838567841402,53995.62767598869
