residence_zone,illiterate_or_incomplete_primary_i,complete_primary_i_or_incomplete_primary_ii,complete_primary_ii_or_incomplete_secondary,complete_secondary_or_incomplete_higher,complete_higher_education,total
1,568.28607111372378,479.15809579782541,482.72994416691142,1254.5884456419283,815.23744327961231,3600.000000000001
2,853.02485081103953,655.97984211090125,511.35554948307464,1074.8610671090044,1149.7786904859809,4245
3,2895.1095444990951,2976.8588650308893,3146.6036686064949,5109.0217010935776,2451.406220769959,16579.000000000015
4,3171.0481073723799,1735.078940536916,2092.7152790897858,6866.1129623104407,11041.044710690479,24906
5,817.18569391891629,479.35281145960516,2094.3845178202132,6269.83947373715,5438.2375030641197,15099.000000000004
6,4234.9152124310167,2257.1049534259087,2989.0178759406831,7265.820644467286,5477.1413137351101,22224.000000000007
7,1505.3108529747115,2191.0129459069867,995.3446464188537,7148.0666042768162,3009.2649504226374,14849.000000000004
8,1974.6307574870684,1709.6690707898726,1509.5304661509392,5042.0487109660389,1638.1209946060721,11873.999999999993
9,1465.9937074873053,1597.373601757185,1310.2915914440789,1718.8175507688195,1537.5235485426122,7630.000000000002
10,423.57238703716371,277.5544983016859,408.62016181671527,872.60397892025367,151.6489739241822,2134.000000000001
11,908.01586317957378,312.01491879949333,897.68781487924707,1593.1137057684568,634.16769737323057,4345.000000000002
12,1906.7896387093069,1711.0983362838915,1592.9489445957236,4194.8467730760549,1905.3163073350274,11311.000000000004
13,107.4525689307808,122.80160811323731,154.27830782881009,351.2703466969017,74.197168430270025,809.9999999999999
14,329.94508000022853,155.01493617163331,224.80156694425884,769.49024843268887,220.74816845118983,1699.9999999999995
15,1040.6591804113643,1358.7814269473113,967.20742016992722,3595.4751160127762,1629.8768564586244,8592.000000000004
16,2099.5708546621249,1224.6958674496032,1809.2500428230637,9128.6764858218576,5149.8067492433474,19411.999999999996
17,1615.0898995711163,1917.1900677413657,1390.793840150448,3278.1153675621936,997.81082497488239,9199.000000000005
18,3435.369234464034,2857.2212686323901,3388.1614948913821,11665.257121400598,5313.9908806115818,26659.999999999985
19,1292.649258218222,2007.5094362322909,2442.6098949148836,8158.2942664752936,5723.9371441593103,19625
20,2126.3541890456622,3191.6331096203016,3431.2041269296506,7316.8562892076798,8616.9522851966885,24682.999999999985
21,1879.5368781471998,389.85017817851718,1011.3926405426846,3219.9453099589309,10203.274993172668,16704
22,1128.467805502738,159.9791214301205,722.94725169527499,2520.6875991339321,6878.9182222379213,11410.999999999984
23,387.70035504659148,339.05559748864778,258.70748632469952,1150.4990528047174,2026.0375083353431,4161.999999999999
24,1322.5635620447395,978.63571827441922,538.20398886059274,3772.7097331425666,4124.8869976776823,10737
25,1974.0853759583028,1863.1549602602629,1680.687922513376,5072.5171950173208,6155.5545462507307,16745.999999999993
26,1195.2729600910088,711.95454470116886,1293.8467804864188,3519.3938522984135,5103.5318624229949,11824.000000000004
27,1821.3160890066079,970.43401701099503,721.90617641578478,2323.1409423303553,9577.2027752362628,15414.000000000004
28,678.18606115222178,238.59968174563565,271.68085985678908,925.29060838061969,5276.2427888647326,7389.999999999998
29,532.24666560888249,772.11358250288379,445.45890976496861,2070.755889534179,6320.4249525890882,10141.000000000002
30,1446.5936370852321,678.22202419488792,766.36319046463882,2134.4908268585382,11761.330321396694,16786.999999999993
31,2012.5834266150048,734.29324051809806,1092.4238433015087,3396.6679688006834,15207.031520764691,22442.999999999985
32,477.11854630576295,353.27031359701925,290.17427441637238,1260.4896871202179,4957.9471785606347,7339.000000000008
33,150.5,142.58068523068519,17.25,199.39162692103866,1028.2776878482766,1538.0000000000005
34,525.47058823529414,382.3928104575163,213.4917874396138,1045.5653146654436,4298.0794992021338,6465.000000000002
35,6993.997216718878,2919.0937872089789,4275.6035426638446,11201.554654722204,9173.7507986860874,34563.99999999999
36,3908.2680278382786,1274.4920642122461,1749.825625973235,8551.9918948507202,23895.422387125502,39379.999999999985
37,978.98061384863274,802.58418470667857,524.65725285025894,2652.8013510949791,4080.976597499448,9039.999999999996
38,973.82575757575705,1071.6508491508489,1278.2637654742919,1492.700241279188,707.55938651991244,5523.999999999998
39,1951.9104991141648,1423.1758350749417,2459.810368205508,4352.4101889338335,3028.6931086715663,13216.000000000016
40,1752.2358235263109,1221.3886510243508,945.80955086658389,2041.3078361057346,2249.2581384770178,8209.999999999998
41,3853.2223966897077,1412.3385757670114,2093.0190734497874,6544.7814776042705,9406.6384764892264,23310.000000000004
42,2196.9771215890028,1342.2000257238849,1092.084334153282,1808.7785122866003,470.96000624722961,6910.999999999999
43,3508.9331022480001,2718.9172182082439,2515.0399005056302,8768.5379083391435,14582.571870698986,32094.000000000004
44,356.0158473502342,1077.9510539509311,1082.669076540293,3488.7664281658358,10944.597593992714,16950.000000000007
45,2080.7700571407099,1553.8176797499098,2854.9908365955675,10222.55611633783,17133.865310175988,33846
46,5378.4922851520842,3242.5700329859192,2948.4153658407167,18594.975264639299,6948.5470513819755,37112.99999999999
47,2088.5947438141411,1747.4102102923641,3463.0304848344726,11821.72319161471,6884.2413694443158,26005.000000000007
48,3555.7658652096611,1799.4296242082212,1359.4924778436878,7676.6188966861828,10410.693136052254,24802.000000000007
49,1151.7758180320052,1008.1294554955409,478.9683456225381,2535.1951629460464,9686.9312179038716,14861.000000000002
50,842.7052198736792,472.57372567470782,481.10213160409751,2857.9899284426438,4907.6289944048704,9562
51,1906.9632371793584,876.72847137042186,796.34697026796425,2299.8478572648492,10005.113463917418,15885.000000000013
52,501.13981906853201,518.41971167439419,403.34417989562951,2000.7616301706994,6099.3346591907411,9522.999999999996
53,1546.6904704581209,941.21524008107701,534.9847978483258,1925.0851452041945,9108.0243464082705,14055.999999999987
54,709.18849968022846,427.96606278529839,467.03146023301474,1530.3030283714197,5310.5109489300403,8445.000000000002
55,1041.3348135228375,680.17570358852572,1098.7204442022939,2341.066523988779,10317.702514697559,15478.999999999996
56,1729.887874915421,1249.7833288096581,826.04447360920108,3077.0807958672008,13536.203526798507,20418.999999999985
57,1045.7388090772761,1340.357141574003,1089.316888971051,4242.1217106734312,14501.465449704232,22218.999999999993
58,2928.6895309056231,2689.7746270888956,1201.9583595764093,10703.367924212902,16803.209558216178,34327.00000000001
59,3771.3117480674487,4593.108113068387,3354.2717454528538,11409.315784208069,26992.992609203244,50121
60,430.70963306498902,0,825.59500135464953,8714.2353287742208,10704.460036806151,20675.00000000001
61,729.26302246555701,0,1159.2909632589235,15467.948952388608,9181.4970618869302,26538.000000000015
62,307.09912929054195,271.27187592172061,414.67519370056311,966.18634584607446,2979.7674552410995,4939
63,79.489795918367406,98.3163265306124,64.730725623582899,341.31685753754931,1466.1462943898875,2049.9999999999995
64,2753.040521969881,1882.1301066982023,1611.0067680395982,6991.7544406940415,18102.068162598265,31339.99999999999
65,2337.666666666667,1303.1108452950575,709.2298136645951,2709.6822636300885,19252.310410743554,26311.999999999964
66,840.38400363792982,504.74982964267451,192.65917176737292,1578.6920175512064,7265.5149774008196,10382.000000000004
67,912.73075142969947,240.92955650086469,381.64770812689466,1581.1451998687119,5794.5467840738283,8911
68,2998.0325971406328,1322.8815812878829,1306.1655824862216,5873.1787343801388,14099.7415047051,25599.999999999975
69,936.6578168949311,520.90136058008602,695.36520066767309,1316.0884830227983,7182.9871388345045,10651.999999999993
70,1237.5675948006101,688.7512309621037,407.95792171297109,3050.7978392899895,7985.925413234324,13371
71,3559.5821604538514,1840.0529694461982,1870.3604088465472,3950.8101054246104,20080.194355828778,31300.999999999985
72,1375.1261198193831,530.74470443176199,184.72051398070971,1560.7956683548414,9527.6129934133041,13179
73,987.83092505317506,790.50859654847045,711.60827342400762,977.72233918524125,6402.3298657891046,9870
74,1105.5475512322826,641.69324495620663,254.4472206270633,1516.1190777772981,8006.1929054071679,11524.000000000018
75,1368.236922848479,608.62570606497991,762.26238655033546,2490.9573612654385,8008.9176232707705,13239.000000000004
76,832.77824344909595,465.85729340080269,327.53909892541725,1460.5312072276552,6162.2941569970135,9248.999999999985
