residence_zone,male,female,no_response,total
1,1696.3615564570616,1903.6384435429404,0,3600.000000000002
2,1981.5037212691004,2263.4962787309,0,4245
3,9552.50375679848,7026.4962432015354,0,16579.000000000015
4,14290.820948714247,10615.179051285755,0,24906
5,8993.9718342550641,6105.0281657449414,0,15099.000000000004
6,9697.7468616278056,12526.253138372194,0,22224
7,7038.5484440689961,7810.4515559310066,0,14849.000000000004
8,5025.462156304211,6848.5378436957826,0,11873.999999999993
9,3954.5217553080247,3675.4782446919785,0,7630.000000000004
10,942.32997380343716,1191.6700261965639,0,2134.000000000001
11,2286.5136998159401,2058.4863001840622,0,4345.000000000002
12,5245.7564699646828,6065.2435300353227,0,11311.000000000004
13,455.79377699875602,354.20622300124433,0,810.0000000000003
14,921.90512630093463,778.09487369906435,0,1699.999999999999
15,4827.1408749746925,3764.8591250253085,0,8592
16,9069.0364975927641,10342.963502407229,0,19411.999999999993
17,4850.6659955073383,4318.8476582117091,29.486346280954201,9199.000000000002
18,12419.421478574084,14240.578521425898,0,26659.999999999985
19,8651.5812639000615,10973.418736099942,0,19625.000000000004
20,11016.215828179533,13666.784171820444,0,24682.999999999975
21,8216.2486537827408,8487.7513462172537,0,16703.999999999993
22,5230.17210402617,6180.8278959738182,0,11410.999999999987
23,1954.1066160743339,2207.8933839256647,0,4161.999999999998
24,5438.3671254588753,5298.6328745411247,0,10737
25,7183.7144918875038,9562.2855081124872,0,16745.999999999993
26,5940.7775543495945,5883.2224456504118,0,11824.000000000007
27,7441.1581850967186,7972.8418149032805,0,15414
28,3868.6509161655163,3521.3490838344856,0,7390.000000000002
29,5675.7315129404005,4465.2684870596022,0,10141.000000000004
30,8392.7483240768634,8394.2516759231421,0,16787.000000000007
31,10396.445112071537,12046.554887928458,0,22442.999999999993
32,3756.8941002261763,3536.1098527404511,45.9960470333763,7339.000000000004
33,582.80899054134375,955.19100945865682,0,1538.0000000000005
34,2939.8358132773751,3525.164186722629,0,6465.000000000004
35,16962.858723860747,17601.141276139238,0,34563.999999999985
36,19901.126859213771,19419.01856364539,59.854577140819003,39379.99999999998
37,3744.0653038600467,5295.9346961399524,0,9040
38,2557.8216514479664,2966.1783485520314,0,5523.999999999998
39,5370.2456579085301,7845.7543420914863,0,13216.000000000016
40,4262.6366775681054,3947.3633224319001,0,8210.000000000005
41,11608.149034805818,11701.850965194179,0,23309.999999999996
42,3061.587654142349,3849.412345857651,0,6911
43,15278.043273494739,16541.648528367699,274.30819813757603,32094.000000000015
44,9996.3584287581907,6953.6415712418138,0,16950.000000000004
