residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
1,8312481.951924493,5140.681479235929,2309.0227644234687,5036.405951263869
2,9537456.407938523,5240.36066370248,2246.7506261339267,4000
3,40506299.73480189,5447.323794352076,2443.229370577346,3000
4,72963753.23811233,5419.9786984186885,2929.5652950338217,4545
5,54566197.02575359,6304.5866003181445,3613.8947629481154,5024.091899104776
6,41827757.2458763,4254.679813434684,1882.098508183779,3300
7,27916659.59740416,4907.99219363645,1880.036338972601,3797.12697292281
8,26781315.104063068,6300.003553061178,2255.4585736957292,4483.86783394358
9,15769397.622429889,5701.156045708561,2066.7624668977583,4196.224871860383
10,2037258.733018333,4517.2033991537355,954.666697759294,3038.9456520998465
11,7759418.531983139,5186.777093571628,1785.827049938582,4072.449743720766
12,28057887.43479337,7651.455531713486,2480.5841600913595,4592.216118682415
13,1681909.3974333813,5191.0783871400645,2076.4313548560253,4592.216118682415
14,3137201.5173620316,4775.040361281634,1845.4126572717848,4684.431118682415
15,15994453.482489929,4455.279521584934,1861.5518485207087,4000
16,54534722.474936254,6385.05122057561,2809.3304386429145,4850
17,13961536.424766704,3979.001372695396,1517.723276961268,3698.563486461406
18,65943104.87536408,5815.601452982101,2473.48480402716,5206.235782133841
19,64053619.769993834,7784.834682789742,3263.8787143945897,6050
20,78471963.76373433,7163.772481626276,3179.190688479288,5024.091899104776
21,103351061.80795142,13800.382134857977,6187.204370686743,10000
22,49624523.68245057,8547.110520573648,4348.832151647586,7129.525775169853
23,13629312.431904536,6036.010820152582,3274.7026506257903,6198.1119471319635
24,33407365.53236852,6147.840546994585,3111.4245629476113,4500
25,56141837.737460665,6554.031956276057,3352.55211617465,5344.189832581453
26,36857800.2262569,6185.2324595161745,3117.202319541348,5000
27,118804237.5498592,15566.592970369367,7707.554012576821,10000
28,57572728.14865024,15095.104391360854,7790.62627180653,13386.473020596744
29,60575059.90129157,10116.075467817574,5973.282704002721,8200.90669745515
30,132633475.06945612,16495.461612911822,7900.963547355471,11818.820281699847
31,131658320.62117144,10186.330415564522,5866.342317033001,8000
32,51821870.99986094,12897.42931803412,7061.162419929268,10000
33,16134171.997386904,30101.06715930392,10490.358905973288,23435.330193114412
34,51166870.014950335,18438.51171709922,7914.442384369744,15000
35,111176645.1278801,6243.073064234056,3216.544529796322,5000
36,227742167.88576296,12090.792518887352,5783.19369948611,10000
37,43468316.27951065,10682.800756822464,4808.4420663175515,7387.9978875849265
38,9314729.551794183,4806.361997829817,1686.2291006144424,4036.2248718603832
39,27296595.770230327,5647.961053223744,2065.4203821300157,4367.73566788716
40,18862671.052232377,5608.65989619771,2297.523879687259,5779.081274591074
41,83754998.98231575,9443.56736749527,3593.0930494343943,7129.525775169853
42,9139920.652000774,3518.8729698932716,1322.5178197078244,3301.063604765382
43,122021075.68486343,9781.221327384572,3801.9902687375734,7646.47472233248
44,61361695.743958674,8930.533509526844,3620.159040941513,6000
45,142584627.26893583,10591.637740969823,4212.746772703887,7000
46,79575233.28331414,5178.899003683245,2144.1336804708367,4300
47,63051319.43361595,5805.830518749165,2424.5844812003843,5050
48,93461507.89067659,9168.286039893725,3768.3052935519927,7646.47472233248
49,66477449.03665344,9199.757685670282,4473.282352240994,7000
50,24405339.317232464,6051.4106911064855,2552.325801844015,5388.379665162906
51,125588309.13398972,18447.166441537884,7906.09437418883,15398.10917470158
52,55709811.01912691,12336.09632841605,5850.02740933812,9716.64405047771
53,71626957.01222695,11819.629870004424,5095.827903544893,9500
54,45417414.22797755,11283.829621857793,5378.024183301067,9433.288100955418
55,86191544.29651624,12496.961620489536,5568.2889267082,8850
56,96755534.85032724,9583.859263966637,4738.505061478394,8350.453348727575
57,112715214.1223897,11256.887458542858,5072.92020893783,8200.90669745515
58,140467673.47551593,9422.348748308552,4092.04630394488,8000
