residence_zone,no_cars,one_car,two_cars,three_or_more_cars,total_families
1,905.5200000000007,646.8000000000004,64.68,0,1617.0000000000011
2,1055.5999999999997,691.5999999999998,72.8,0,1819.999999999999
3,5832.156862745079,1458.0392156862697,0,145.803921568627,7435.999999999976
4,9961.879999999994,3230.879999999999,269.24,0,13461.999999999993
5,4154.399999999999,4327.499999999999,173.1,0,8654.999999999998
6,8623.684210526295,1207.315789473682,0,0,9830.999999999976
7,3640.3200000000033,1820.16,227.52,0,5688.000000000004
8,2550.6,1700.4,0,0,4251
9,1659.5999999999997,1106.4000000000003,0,0,2766
10,270.6000000000001,171.38,9.02,0,451.00000000000006
11,821.3333333333321,586.6666666666661,87.9999999999999,0,1495.9999999999982
12,1980.1799999999992,1540.1399999999996,73.34,73.34,3666.999999999999
13,129.60000000000005,181.43999999999997,12.96,0,324
14,446.7599999999997,183.96,26.28,0,656.9999999999997
15,2393.333333333335,1126.2745098039215,70.3921568627451,0,3590.000000000002
16,5295.419999999999,3074.7600000000007,0,170.82,8541
17,2506.288659793817,966.711340206186,35.8041237113402,0,3508.804123711343
18,5669.5,5442.72,226.78,0,11339.000000000002
19,2531.6923076923044,4588.6923076923,1107.6153846153832,0,8227.999999999987
20,5868.214285714293,4303.357142857148,782.428571428572,0,10954.000000000013
21,3473.159420289856,3039.014492753624,542.68115942029,434.144927536232,7489.000000000002
22,2453.239436619716,2943.887323943658,408.87323943661954,0,5805.999999999994
23,1264.48,993.5199999999995,0,0,2257.9999999999995
24,3622.666666666664,1598.2352941176457,106.549019607843,106.549019607843,5433.9999999999945
25,5482.239999999999,2912.4400000000005,171.32,0,8566
26,4290.479999999999,1430.1600000000003,238.36,0,5958.999999999999
27,2332.000000000001,4169.333333333331,989.333333333334,141.3333333333334,7631.999999999998
28,1557.3833333333316,2065.916666666664,158.9166666666665,31.7833333333333,3813.999999999995
29,1804.6027397260284,3609.205479452057,574.1917808219181,0,5988.000000000003
30,2626.597315436245,3859.489932885911,1447.3087248322156,107.2080536912752,8040.604026845646
31,8001.190476190459,4308.333333333331,615.47619047619,0,12924.999999999982
32,1841.5833333333333,2009,133.9333333333332,33.4833333333333,4017.999999999999
33,99.9322033898306,263.45762711864415,99.9322033898306,72.67796610169496,536.0000000000003
34,462.5,1780.625,508.75,23.125,2775
35,11332.363636363638,5828.072727272725,323.781818181818,323.781818181818,17808
36,8606.10344827588,9580.379310344848,487.137931034484,162.379310344828,18836.000000000044
37,1790.360000000001,1708.9800000000007,569.66,0,4069.000000000002
38,813.96,1046.52,77.52,0,1938
39,2558.6470588235275,1990.0588235294113,189.5294117647058,94.7647058823529,4832.999999999997
40,1295.6333333333346,1846.9666666666667,165.40000000000018,55.1333333333334,3363.1333333333346
41,2925.8556701030943,4297.350515463919,1645.7938144329912,0,8869.000000000004
42,1779.699999999999,769.6000000000004,48.1,0,2597.399999999999
43,3871.562499999998,7226.91666666668,1290.5208333333328,86.0347222222222,12475.034722222234
44,2694.509803921559,3637.588235294103,538.901960784312,0,6870.9999999999745
45,3713.655172413791,7659.413793103449,1856.8275862068965,232.103448275862,13462
46,5121.7599999999975,8134.559999999995,2108.96,0,15365.279999999992
47,3257.999999999999,6515.999999999996,1086,0,10859.999999999996
48,1631.04,7135.800000000003,1427.16,0,10194.000000000004
49,2738.2736842105255,3879.221052631578,608.5052631578945,0,7225.999999999998
50,1344.3333333333337,2613.981481481482,74.6851851851852,0,4033.000000000001
51,618.90909090909,3610.303030303025,2063.0303030303,515.757575757575,6807.99999999999
52,1625.7599999999993,2348.3199999999997,541.92,0,4515.999999999999
53,1232.54237288136,3800.338983050861,924.40677966102,102.71186440678,6060.00000000002
54,1542.9166666666692,2347.9166666666692,134.1666666666668,0,4025.0000000000055
55,2620.8600000000006,2896.7400000000007,1379.4000000000003,0,6897.000000000002
56,4782.162162162169,5047.837837837846,132.837837837838,132.837837837838,10095.675675675691
57,4107.897435897438,4493.012820512823,1283.71794871795,128.371794871795,10013.000000000004
58,5649.319148936189,8003.202127659603,1255.404255319152,0,14907.925531914943
59,11376.814814814825,8938.925925925929,1625.25925925926,0,21941.00000000001
60,3125.3846153846243,4625.569230769244,375.04615384615494,0,8126.000000000024
61,4880,7320,0,0,12200
62,343.90625,1410.015625,447.078125,0,2201
63,83.54838709677422,509.645161290323,183.8064516129032,0,777.0000000000005
64,3884.2574257425767,7912.376237623765,2157.9207920792105,575.445544554456,14530.000000000007
65,1211.600000000004,6663.800000000028,3735.766666666681,504.83333333333496,12116.000000000047
66,707.0721649484543,2727.278350515464,1363.6391752577333,101.0103092783506,4899.000000000002
67,762.9253731343283,2523.522388059698,528.1791044776119,117.3731343283582,3931.999999999997
68,5236.016949152553,6283.220338983064,837.7627118644078,0,12357.000000000024
69,2117.307692307692,2794.846153846153,592.8461538461538,0,5504.999999999998
70,1960.636363636366,3921.272727272732,301.636363636364,452.45454545454606,6636.000000000008
71,3306.333333333338,6612.666666666676,3778.666666666672,472.333333333334,14170.00000000002
72,1183.8000000000002,3314.640000000002,1302.1800000000003,118.38,5919.000000000003
73,1018.8888888888888,2037.7777777777776,1528.3333333333333,0,4585
74,1377.522935779817,3019.954128440365,1324.5412844036705,52.9816513761468,5775
75,2748.2424242424227,3238.9999999999977,441.68181818181847,49.0757575757576,6477.999999999996
76,838.4863013698649,2542.5068493150743,486.86301369863094,81.14383561643851,3949.0000000000086
77,3105.2727272727357,5693.0000000000155,2415.212121212128,172.515151515152,11386.000000000033
78,1036.5600000000006,5067.62666666667,2418.639999999999,172.7600000000001,8695.58666666667
79,1816.558823529412,2480.3014705882347,244.53676470588255,209.6029411764708,4751.000000000001
80,4431.640000000008,4817.000000000006,256.9066666666668,128.4533333333334,9634.000000000015
81,260.1818181818184,2081.4545454545487,1734.545454545457,693.8181818181822,4770.000000000006
82,2175.923076923076,3505.653846153844,543.9807692307693,60.4423076923077,6285.999999999997
83,3298.5333333333347,6522.100000000017,1349.4000000000003,74.9666666666667,11245.000000000018
84,1833.802816901407,4401.126760563376,1100.2816901408453,104.7887323943662,7439.999999999994
85,417.750000000001,835.5000000000019,358.07142857142946,119.35714285714322,1730.6785714285757
86,192.61052631578997,935.5368421052636,137.57894736842138,41.27368421052642,1307.0000000000014
87,2400.446666666664,3626.2066666666624,1378.9799999999989,255.3666666666665,7660.999999999992
88,5828.059999999996,9634.139999999994,2259.8600000000006,118.94,17840.99999999999
89,1889.6603773584964,3044.4528301886885,629.8867924528321,0,5564.000000000017
90,1916.885714285714,3250.3714285714286,500.05714285714254,166.6857142857142,5834
91,3240.6399999999994,2742.08,249.28,0,6231.999999999999
92,533.9000000000002,533.9000000000002,337.20000000000005,0,1405.0000000000005
93,1536.2750000000003,2127.1500000000015,945.3999999999996,118.175,4727.000000000002
94,670.8000000000002,1393.1999999999996,516.0000000000001,0,2580
95,1221.338461538459,3108.86153846153,2220.61538461538,666.184615384614,7216.999999999983
96,328.082191780822,1213.9041095890425,656.1643835616442,196.8493150684932,2395.000000000002
97,349.81333333333356,3104.5933333333405,2579.8733333333375,524.7200000000004,6559.000000000012
98,1494.36,1636.6800000000003,426.9599999999999,0,3558.0000000000005
99,1631.5200000000004,1854.000000000001,222.48,0,3708.000000000002
100,4342.038461538472,5131.500000000011,986.8269230769249,0,10460.365384615408
101,3540.599999999999,4720.8,1180.2,0,9441.6
102,878.3249999999998,1756.6499999999992,2195.8124999999995,188.2125,5018.999999999998
103,47.64367816091955,323.9770114942527,343.03448275862047,114.34482758620692,828.9999999999995
104,532.3999999999991,1441.9166666666656,510.2166666666658,199.64999999999975,2684.18333333333
105,1152.877777777778,3033.88888888889,1152.877777777778,182.0333333333334,5521.67777777778
106,2056.800000000001,514.2,0,0,2571.000000000001
107,579.298245614035,4286.807017543855,1506.1754385964907,231.719298245614,6603.999999999995
108,818.8400000000004,893.2800000000004,223.32,0,1935.4400000000007
109,15015.75949367088,24470.1265822785,5005.253164556961,0,44491.139240506345
110,9172.777777777783,16414.444444444445,482.777777777778,0,26070.000000000004
111,6285.509433962267,8503.924528301892,4436.830188679248,369.735849056604,19596.00000000001
112,5604.400000000003,7565.940000000005,1120.88,0,14291.220000000008
113,3021.760000000001,5288.08,944.3,188.86,9443
114,,,,0,0
115,7308,8004,3132,0,18444
116,32455.920000000027,25114.700000000008,772.76,0,58343.38000000004
117,8244.859999999997,11282.44,2169.7,0,21696.999999999996
118,2939.5862068965503,2388.413793103447,91.8620689655172,0,5419.8620689655145
119,16153.58333333331,14590.333333333314,1042.166666666666,0,31786.083333333292
120,,,,0,0
121,19216,10088.399999999996,0,0,29304.39999999999
122,7291.24,8285.5,994.26,0,16571
123,11883.56,9141.200000000003,1828.24,0,22853.000000000004
124,11134.259999999997,7835.220000000001,1237.14,412.38,20618.999999999996
125,8163.296296296299,10292.85185185185,1419.703703703704,0,19875.851851851858
126,5927.884615384625,5927.884615384625,474.23076923077,0,12330.00000000002
127,8742.20689655172,10927.758620689654,1092.7758620689651,364.258620689655,21126.999999999993
128,412.93103448275735,512.0344827586191,33.0344827586206,0,957.9999999999972
129,1051.7735849056617,657.3584905660382,32.8679245283019,0,1742.0000000000018
130,687.3000000000002,308.0999999999999,165.89999999999998,23.7,1185.0000000000002
131,283.2000000000001,247.8000000000001,59,0,590.0000000000002
132,,,,0,0
133,5594.666666666668,9635.259259259265,1243.25925925926,310.814814814815,16784.000000000007
134,4726.156862745103,3233.6862745098074,4477.411764705887,248.745098039216,12686.000000000016
135,4217.39130434782,9489.13043478259,843.478260869564,0,14549.999999999976
136,6026.6440677966075,5811.406779661014,860.949152542372,0,12698.999999999996
137,8368.779999999997,7277.199999999998,1819.3,727.72,18192.999999999996
138,2188.999999999999,1926.3199999999993,262.68,0,4377.999999999998
139,4697,4483.5,1494.5,0,10675
140,8018.867924528302,8018.867924528302,962.264150943396,0,17000
141,15038.400000000003,11905.400000000003,3759.6,626.6,31330.000000000007
142,15060.096153846182,6884.615384615391,430.288461538462,0,22375.000000000033
143,,,,0,0
144,16984.34999999999,18242.44999999999,3145.25,0,38372.04999999998
145,781.7600000000003,1507.6799999999998,390.88000000000005,111.68,2792
146,,,,0,0
147,4290.17647058824,5107.3529411764775,1021.4705882352952,204.294117647059,10623.294117647072
148,1946.1764705882329,3592.9411764705837,1646.7647058823509,449.11764705882297,7634.99999999999
149,,,,0,0
150,9337.139999999998,6916.399999999999,1037.46,0,17290.999999999996
151,21634.509090909087,13362.490909090911,0,0,34997
152,5885.764705882365,7006.862745098054,1401.37254901961,0,14294.000000000027
153,783.6,5224.000000000001,522.4,130.6,6660.600000000001
154,7110,10665,1422,0,19197
155,7320.740740740764,2013.2037037037085,549.055555555557,0,9883.00000000003
156,5516.094339622639,8999.943396226414,870.962264150943,0,15386.999999999996
157,3088.9038461538435,2288.07692307692,572.01923076923,0,5948.9999999999945
158,9789.423076923076,9789.423076923076,783.153846153846,0,20362
159,13464.73076923078,7818.230769230773,868.692307692308,434.346153846154,22586.000000000015
160,8410.159999999996,8410.159999999996,1911.4,382.28,19113.999999999993
161,11647.02,5647.039999999998,352.94,0,17646.999999999996
162,3837.1800000000026,1856.7,495.12,0,6189.000000000003
163,5815.714285714277,9305.142857142842,872.3571428571419,290.785714285714,16283.999999999976
164,1891.3800000000008,1108.7400000000002,195.66,65.22,3261.0000000000005
165,530,742,53,0,1325
166,1949.2830188679277,9015.433962264167,1705.6226415094368,243.660377358491,12914.000000000022
